originalRelease,originalNamespace,originalPropertyName,changeCode,issue,release,namespace,propertyName,definition,dataType,substitutionGroupHead,elementOrAttribute,concreteOrAbstract,isAbstract
3.2,biom,AcquisitionRadioTransmissionFormatDescriptionText,modified,,4.0,biom,AcquisitionRadioTransmissionFormatDescriptionText,An acquisition radio transmission format description.,nc:TextType,,TRUE,,FALSE
3.2,biom,ApplicationProfileOrganizationName,modified,,4.0,biom,ApplicationProfileOrganizationName,A name of an agency or entity responsible for the specification of an application profile,nc:TextType,,TRUE,,FALSE
3.2,biom,ApplicationProfileVersionIdentification,modified,,4.0,biom,ApplicationProfileVersionIdentification,An identification of a version of an application profile specification,nc:IdentificationType,,TRUE,,FALSE
3.2,biom,CharacterSetCommonNameCode,modified,,4.0,biom,CharacterSetCommonNameCode,A common name for the character set associated with the index number that references an associated character set throughout a transaction,biom:CharacterSetCommonNameCodeType,,TRUE,,FALSE
3.2,biom,CharacterSetIndexCode,modified,,4.0,biom,CharacterSetIndexCode,A character set index number that references an associated character set throughout a transaction,biom:CharacterSetIndexCodeType,,TRUE,,FALSE
3.2,biom,CharacterSetVersionIdentification,modified,,4.0,biom,CharacterSetVersionIdentification,An identification of a version number of a character set,nc:IdentificationType,,TRUE,,FALSE
3.2,biom,ContentRecordQuantity,modified,,4.0,biom,ContentRecordQuantity,"A total number of records in the transaction, not counting the Type-1 record",nc:QuantityType,,TRUE,,FALSE
3.2,biom,DigitalMediaContainerExternalReferenceCodeText,modified,,4.0,biom,DigitalMediaContainerExternalReferenceCodeText,An external container reference code / ECON contains the 'reference code' from the table of containers available at http://www.nist.gov/itl/iad/ig/ansi_standard.cfm.,nc:TextType,,TRUE,,FALSE
3.2,biom,EncounterIdentification,modified,,4.0,biom,EncounterIdentification,A unique identification for identifying an encounter.,nc:IdentificationType,,TRUE,,FALSE
3.2,biom,FaceImageDescriptionCode,modified,,4.0,biom,FaceImageDescriptionCode,A description of a facial expression of a subject and other attributes associated with a subject's captured facial image,biom:FaceImageDescriptionCodeType,biom:FaceImageDescriptionAbstract,TRUE,,FALSE
3.2,biom,ForensicDentalSetting,modified,,4.0,biom,ForensicDentalSetting,A set of information regarding the forensic setting information that carried out the analysis of the dental and oral data to identify or confirm the identity of the subject.,biom:ForensicDentalSettingType,,TRUE,,FALSE
3.2,biom,IrisEyePositionCode,modified,,4.0,biom,IrisEyePositionCode,A designator of which eye is represented by the image,biom:EyePositionCodeType,biom:IrisEyePositionAbstract,TRUE,,FALSE
3.2,biom,MinutiaeAlgorithmOwnerText,modified,,4.0,biom,MinutiaeAlgorithmOwnerText,A name of an editing station or owner or developer of a minutiae processing algorithm,nc:TextType,,TRUE,,FALSE
3.2,biom,MinutiaeFormatContactOrganization,modified,,4.0,biom,MinutiaeFormatContactOrganization,An organization to contact for more information about a vendor-specific minutiae format,nc:OrganizationType,,TRUE,,FALSE
3.2,biom,NonPhotographicImageCategoryCode,modified,,4.0,biom,NonPhotographicImageCategoryCode,An Image Type Code for the Non-photographic,biom:NonPhotographicImageCategoryCodeType,,TRUE,,FALSE
3.2,biom,PhysicalFeatureCategoryCode,modified,,4.0,biom,PhysicalFeatureCategoryCode,A specific kind of physical feature,biom:PhysicalFeatureCategoryCodeType,biom:PhysicalFeatureCategoryAbstract,TRUE,,FALSE
3.2,biom,PhysicalFeatureNCICCode,modified,,4.0,biom,PhysicalFeatureNCICCode,A general kind of physical feature from the NCIC codes.,ncic:SMTCodeType,biom:PhysicalFeatureDescriptionAugmentationPoint,TRUE,,FALSE
3.2,biom,ResolutionMethodInformation,modified,,4.0,biom,ResolutionMethodInformation,An optional field states the method used for determining the pixel density of the image.,biom:ResolutionMethodInformationType,,TRUE,,FALSE
3.2,biom,RulerScaleUnitCode,modified,,4.0,biom,RulerScaleUnitCode,A unit of measurement visible on the ruler or measurement scale.,biom:RulerScaleUnitCodeType,,TRUE,,FALSE
