originalRelease,originalNamespace,originalTypeName,originalProperty,changeCode,issue,release,namespace,typeName,property,minOccurs,maxOccurs
5.0,biom,PedigreeType,biom:PedigreeID,edit,,5.1,biom,PedigreeType,biom:PedigreeIdentification,1,unbounded
5.0,biom,PedigreeType,biom:PedigreeMemberIndexNumeric,edit,,5.1,biom,PedigreeMemberType,biom:PedigreeMemberIdentification,0,unbounded
5.0,biom,PedigreeType,biom:PedigreeMemberStatusCode,edit,,5.1,biom,PedigreeMemberType,biom:PedigreeMemberStatusCode,0,1
5.0,biom,PedigreeType,biom:PedigreeFatherIndexNumeric,edit,,5.1,biom,PedigreeMemberType,biom:PedigreeFatherIdentification,0,1
5.0,biom,PedigreeType,biom:PedigreeMotherIndexNumeric,edit,,5.1,biom,PedigreeMemberType,biom:PedigreeMotherIdentification,0,1
5.0,cui,PortionMarkingMetadataType,cui:LDCMarking,edit,,5.1,cui,PortionMarkingMetadataType,cui:PortionMarkingLDC,0,unbounded
5.0,j,PersonAugmentationType,j:PersonCircumcisionCode,edit,,5.1,j,PersonAugmentationType,j:PersonCircumcisionAbstract,0,unbounded
5.0,,,,add,,5.1,biom,DNAAlleleType,biom:DNAAlleleOperatorCode,0,1
5.0,,,,add,,5.1,biom,DNAAlleleType,biom:DNAAlleleCall1Text,0,1
5.0,,,,add,,5.1,biom,DNAAlleleType,biom:DNAAlleleCall2Text,0,1
5.0,,,,add,,5.1,biom,DNAAlleleType,biom:DNAAllelePeakHeightValue,0,1
5.0,,,,add,,5.1,biom,DNAAlleleType,biom:DNAAlleleRequiredIndicator,0,1
5.0,,,,add,,5.1,biom,DNAAlleleType,biom:DNAAlleleAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:ProcessUTCDate,1,1
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:DNAAnalysisProcessingEntity,0,unbounded
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:DNAAnalysisProcessSite,1,1
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:DNALaboratoryAccreditation,0,1
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:ProcessName,1,1
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:DNAAnalysisProcessManufacturerName,0,1
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:DNAAnalysisProcessSoftware,0,1
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:ProcessDescriptionText,0,1
5.0,,,,add,,5.1,biom,DNAAnalysisProcessType,biom:DNAAnalysisProcessAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAAnalysisType,biom:DNAFragmentSequenceAnalysis,0,unbounded
5.0,,,,add,,5.1,biom,DNAAnalysisType,biom:DNAElectropherogram,0,unbounded
5.0,,,,add,,5.1,biom,DNAAnalysisType,biom:DNAAnalysisAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNACartridgeType,biom:DNACartridgeName,1,1
5.0,,,,add,,5.1,biom,DNACartridgeType,biom:DNACartridgeIdentification,1,unbounded
5.0,,,,add,,5.1,biom,DNACartridgeType,biom:DNACartridgeAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNADonorType,biom:DNADonorVitalityCode,0,unbounded
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNATypingTechnologyCode,1,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNASampleCollection,0,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNASource,0,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNAProcess,0,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNAAnalysis,0,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNASTRData,0,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNAMitoData,0,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNAUserDefinedProfileAbstract,0,1
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNACommentText,0,unbounded
5.0,,,,add,,5.1,biom,DNAEncodingType,biom:DNAEncodingAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAFragmentSequenceAnalysisType,biom:DNAFragmentSequenceAnalysisID,0,1
5.0,,,,add,,5.1,biom,DNAFragmentSequenceAnalysisType,biom:DNAFragmentSequenceAnalysisCategoryCode,1,1
5.0,,,,add,,5.1,biom,DNAFragmentSequenceAnalysisType,biom:DNAFragmentSequenceAnalysisFileStorageText,1,1
5.0,,,,add,,5.1,biom,DNAFragmentSequenceAnalysisType,biom:DNAFragmentSequenceAnalysisBinaryObject,1,1
5.0,,,,add,,5.1,biom,DNAFragmentSequenceAnalysisType,biom:DNAFragmentSequenceAnalysisAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:ProcessUTCDate,1,1
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:DNAAnalysisProcessingEntity,0,unbounded
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:DNAInstrumentSite,1,1
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:DNALaboratoryAccreditation,0,unbounded
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:DNAInstrumentSoftware,0,1
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:DNACartridge,0,1
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:ProcessDescriptionText,0,1
5.0,,,,add,,5.1,biom,DNAInstrumentProcessType,biom:DNAInstrumentProcessAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNALocusName,1,1
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNALocusCategoryCode,1,1
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNAKit,0,1
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNABatchID,0,1
5.0,,,,add,,5.1,biom,DNALocusType,biom:ProcessUTCDate,0,1
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNAAnalysisProcessingEntity,0,1
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNALocusQualityStatusCode,1,1
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNAAllele,1,unbounded
5.0,,,,add,,5.1,biom,DNALocusType,biom:DNALocusAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAMitoDataType,biom:DNAMitoReferenceSequenceText,0,1
5.0,,,,add,,5.1,biom,DNAMitoDataType,biom:DNAMitoFragment,1,unbounded
5.0,,,,add,,5.1,biom,DNAMitoDataType,biom:DNACommentText,0,unbounded
5.0,,,,add,,5.1,biom,DNAMitoDataType,biom:DNAMitoDataAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAMitoFragmentType,biom:ProcessUTCDate,1,1
5.0,,,,add,,5.1,biom,DNAMitoFragmentType,biom:DNAAnalysisProcessingEntity,0,1
5.0,,,,add,,5.1,biom,DNAMitoFragmentType,biom:DNAMitoFragmentStartNumeric,1,1
5.0,,,,add,,5.1,biom,DNAMitoFragmentType,biom:DNAMitoFragmentEndNumeric,1,1
5.0,,,,add,,5.1,biom,DNAMitoFragmentType,biom:DNAMitoPolymorphism,0,unbounded
5.0,,,,add,,5.1,biom,DNAMitoFragmentType,biom:DNAMitoFragmentAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAMitoPolymorphismType,biom:DNAMitoPolymorphismSiteNumeric,0,1
5.0,,,,add,,5.1,biom,DNAMitoPolymorphismType,biom:DNAMitoPolymorphismOffsetNumeric,0,1
5.0,,,,add,,5.1,biom,DNAMitoPolymorphismType,biom:DNAMitoPolymorphismBaseCode,0,1
5.0,,,,add,,5.1,biom,DNAMitoPolymorphismType,biom:DNAMitoPolymorphismAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeID,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeMemberIndexNumeric,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeMemberStatusCode,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeSampleID,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeFatherIndexNumeric,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeMotherIndexNumeric,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeCommentText,0,unbounded
5.0,,,,add,,5.1,biom,DNAPedigreeType,biom:DNAPedigreeAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNAProcessType,biom:DNAInstrumentProcess,1,unbounded
5.0,,,,add,,5.1,biom,DNAProcessType,biom:DNAAnalysisProcess,0,unbounded
5.0,,,,add,,5.1,biom,DNAProcessType,biom:DNAProcessAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNARecordType,biom:DNACategoryCode,0,unbounded
5.0,,,,add,,5.1,biom,DNARecordType,biom:DNADonor,0,unbounded
5.0,,,,add,,5.1,biom,DNARecordType,biom:DNADataIdentification,0,unbounded
5.0,,,,add,,5.1,biom,DNARecordType,biom:DNAEncoding,0,unbounded
5.0,,,,add,,5.1,biom,DNARecordType,biom:DNAProfileSupplementalText,0,unbounded
5.0,,,,add,,5.1,biom,DNARecordType,biom:DNARecordAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNASampleCollectionType,biom:DNASampleCollectionUTCDate,1,1
5.0,,,,add,,5.1,biom,DNASampleCollectionType,biom:DNASampleCollectionDateEstimateRangeDuration,0,1
5.0,,,,add,,5.1,biom,DNASampleCollectionType,biom:DNASampleCollectionEntity,1,1
5.0,,,,add,,5.1,biom,DNASampleCollectionType,biom:DNASampleCollectionSite,1,1
5.0,,,,add,,5.1,biom,DNASampleCollectionType,biom:DNASampleCollectionCommentText,0,1
5.0,,,,add,,5.1,biom,DNASampleCollectionType,biom:DNASampleCollectionAugmentationPoint,0,unbounded
5.0,,,,add,,5.1,biom,DNASourceType,biom:DNASourceIdentification,0,unbounded
5.0,,,,add,,5.1,biom,DNASourceType,biom:DNASourceCategoryCode,0,1
5.0,,,,add,,5.1,biom,DNASourceType,biom:DNASourceCompositeIndicator,0,1
