originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
2.1,ansi-nist,IdentificationRangeType,modified,,3.0,j,,A data type for a range of identifications.,,,,,,,,
2.1,cbrn,CoefficientsType,modified,,3.0,,,,<deleted>,cbrn:DecimalListSimpleType,,,,,,
2.1,cbrn,ConveyanceRegistrationAugmentationType,modified,,3.0,,,A data type for additional information about a conveyance registration.,,,,,,,,
2.1,cbrn,ConveyanceRegistrationType,modified,,3.0,,,A data type for an applied augmentation for type nc:ConveyanceRegistrationType.,j:ConveyanceRegistrationType,,,,,,,
2.1,cbrn,DataFileCaptureType,modified,,3.0,,,A data type defining the strcuture of how the data file is captured.,,,,,,,,
2.1,cbrn,DataFileSequenceType,modified,,3.0,,,A data type defining a structure to capture the sequence of a file within a data set,,,,,,,,
2.1,cbrn,DataFileType,modified,,3.0,,,A data type that defines a data file and its properties.,cbrn:RemarksComplexObjectType,,,,,,,
2.1,cbrn,DeviceIdentifierType,modified,,3.0,,,A data type to provide information regarding an encounter device.,,,,,,,,
2.1,cbrn,DoubleType,modified,,3.0,,,A data type for a  double precision real value.,,xs:double,,,,,,
2.1,cbrn,MeasuredItemIdentificationType,modified,,3.0,,,A data type for identification data for a measured item.,,,,,,,,
2.1,cbrn,MessageStatusType,modified,,3.0,,,A data type to provide success or error feedback on a message that has been received.,,,,,,,,
2.1,cbrn,NuclideType,modified,,3.0,,,A data type for the analysis results for an identified nuclide.,cbrn:RemarksComplexObjectType,,,,,,,
2.1,cbrn,PositiveIntegerType,modified,,3.0,,,A data type for a  positive integer.,,xs:positiveInteger,,,,,,
2.1,cbrn,ReportType,modified,,3.0,,,"A data type for a report provided on an unsolicited basis; ie, not in response to a request message (Pull), but by Push from the entity providing the report.",,,,,,,,
2.1,cbrn,StringListSimpleType,modified,,3.0,,,A data type for a list of strings.,,xs:string,,,,,,
