originalRelease,originalNamespace,originalTypeName,changeCode,issue,release,namespace,typeName,definition,parentType,baseType,contentStyle,simpleStyle,isAssociation,isAugmentation,isAdapter,isMetadata
5.1,cyber,AttackPatternType,edit,,5.2,cyber,AttackPatternType,"A data type for a behavior that attackers use to carry out their attacks. It is considered a type of tactics, techniques, and procedures (TTPs).",,,CCC,,,FALSE,FALSE,FALSE
5.1,cyber,BreachCategoryCodeSimpleType,edit,,5.2,cyber,BreachRegulationCategoryCodeSimpleType,"A data type for a kind of information protected by law, regulation, or other restriction that was accessed or potentially accessed in a breach.",,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,cyber,BreachCategoryCodeType,edit,,5.2,cyber,BreachRegulationCategoryCodeType,"A data type for a kind of information protected by law, regulation, or other restriction that was accessed or potentially accessed in a breach.",,cyber:BreachRegulationCategoryCodeSimpleType,CSC,,,FALSE,FALSE,FALSE
5.1,cyber,ExposedFileType,edit,,5.2,cyber,BreachExposedFileType,A data type for a file exposed in a cyber incident,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,AdversaryCommunicationType,A data type for a communication from an adversary during an incident.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,BackupAvailableCategoryCodeSimpleType,A data type for a type of back-up available.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,BackupAvailableCategoryCodeType,A data type for a type of back-up available.,,cyber:BackupAvailableCategoryCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,BackupCourseOfActionType,A data type for a backup technique.,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,BreachNotificationMonitoringServiceType,"A data type for a service that provides long-term aid, such as credit monitoring or identity theft protection.",,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CompromisedDeviceType,A data type for the kind of device compromised by a cyber incident,,,CCC,,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberEnterpriseSubTechniqueCodeSimpleType,A data type for a kind of specific representation for an enterprise sub-technique that describes 'how' an adversary achieves a tactical goal by performing an action.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberEnterpriseSubTechniqueCodeType,A data type for a kind of specific representation for an enterprise sub-technique that describes 'how' an adversary achieves a tactical goal by performing an action.,,cyber:CyberEnterpriseSubTechniqueCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberEnterpriseTechniqueCodeSimpleType,A data type for a kind of specific representation for an enterprise technique that describes 'how' an adversary achieves a tactical goal by performing an action.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberEnterpriseTechniqueCodeType,A data type for a kind of specific representation for an enterprise technique that describes 'how' an adversary achieves a tactical goal by performing an action.,,cyber:CyberEnterpriseTechniqueCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberIndicatorPatternDefensiveMeasureCodeSimpleType,A data type designating the availability of an action to counteract the indicator of compromise.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberIndicatorPatternDefensiveMeasureCodeType,A data type designating the availability of an action to counteract the indicator of compromise.,,cyber:CyberIndicatorPatternDefensiveMeasureCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberMobileTechniqueCodeSimpleType,A data type for a kind of specific representation for a mobile technique that describes 'how' an adversary achieves a tactical goal on a mobile platform by performing an action.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberMobileTechniqueCodeType,A data type for a kind of specific representation for a mobile technique that describes 'how' an adversary achieves a tactical goal on a mobile platform by performing an action.,,cyber:CyberMobileTechniqueCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberNetworkCategoryCodeSimpleType,A data type for a kind of cyber network.,,xs:token,S,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberNetworkCategoryCodeType,A data type for a kind of cyber network.,,cyber:CyberNetworkCategoryCodeSimpleType,CSC,atomic,,FALSE,FALSE,FALSE
5.1,,,add,,5.2,cyber,CyberNetworkType,A data type that contains information about a cyber network of connected devices.,,,CCC,,,FALSE,FALSE,FALSE
