Release,NamespacePrefix,GlossaryTerm,GlossaryLiteral,GlossaryDefinition
4.2,aamva_d20,CMV,Commercial Motor Vehicle,
4.2,aamva_d20,HazMat,Hazardous Materials,
4.2,ag,ACRSI,Acreage and Crop Reporting Streamlining Initiative,
4.2,ag,AIP,Approved Insurance Provider,
4.2,ag,ANSI,American National Standards Institute,
4.2,ag,CLU,Common Land Unit,
4.2,ag,CM,Common Management,
4.2,ag,CVT,Commodity Validation Table,
4.2,ag,FIPS,Federal Information Processing Standards,
4.2,ag,FSA,Farm Service Agency,
4.2,ag,INCITS,InterNational Committee for Information Technology Standards,
4.2,ag,MICS,Mobile Implement Control System,
4.2,ag,NRCS,Natural Resources Conservation Service,
4.2,ag,RMA,Risk Management Agency,
4.2,ag,SCIMS,Service Center Information Management System,
4.2,ag,USDA,United States Department of Agriculture,
4.2,biom,3D,Three-dimensional,
4.2,biom,ADA,American Dental Association,
4.2,biom,ANSI,American National Standards Institute,
4.2,biom,AVI,Audio Video Interleaved,
4.2,biom,CBEFF,Common Biometric Exchange Formats Framework,
4.2,biom,DNA,Deoxyribonucleic acid,
4.2,biom,DNASTR,Deoxyribonucleic acid short tandem repeat,
4.2,biom,EFS,Extended Feature Set,
4.2,biom,EJI,Entire Joint Image,
4.2,biom,FTF,free text field,
4.2,biom,GENC,"Geopolitical Entities, Names, and Codes (GENC) Standard",
4.2,biom,IEC,International Electrotechnical Commission,
4.2,biom,ISO,International Organization for Standardization,
4.2,biom,MISC,Miscellaneous,
4.2,biom,Mito,Mitochondrial,
4.2,biom,NCIC,"GlossaryLiteral
National Crime Information Center",
4.2,biom,NIST,National Institute of Standards and Technology,
4.2,biom,PHD,Photo Capture Date,
4.2,biom,ppi,Pixels per inch,
4.2,biom,ppmm,Pixels per millimeter,
4.2,biom,PUM,Position Uncertainty,
4.2,biom,SBCC,Subject Body Class Code,
4.2,biom,SBSC,Subject Body Status Code,
4.2,biom,SMS,Scar/Mark/Tattoo Size,
4.2,biom,SMT,"Scars, Marks, and Tattoos",
4.2,biom,SPC,Speaker Plurality Code,
4.2,biom,STR,Short tandem repeat,
4.2,biom,TDD,Tooth data detail,
4.2,biom,UTC,Coordinated Universal Time,
4.2,biom,VCD,Vocal content diary,
4.2,biom,VOC,Vocal Content,
4.2,biom,X-STR,Short tandem repeat (STR) on the X-chromosome,
4.2,biom,Y-STR,Short tandem repeat (STR) on the Y-chromosome,
4.2,cbrn,Bio,Biological,
4.2,cbrn,CBRNE,"Chemical, Biological, Radiological, Nuclear and high- yield Explosives",
4.2,cbrn,CC,cubic centimeter (cc) units,
4.2,cbrn,Chem,Chemical,
4.2,cbrn,CM,Centimeter,
4.2,cbrn,CPS,Counts per second,
4.2,cbrn,FWHM,Full width at half maximum,
4.2,cbrn,Geo,Geographic,
4.2,cbrn,KeV,Kiloelectronvolts,
4.2,cbrn,MDA,minimum detectable activity,
4.2,cbrn,MIME,Multipurpose Internet Mail Extensions,
4.2,cbrn,mR,milliroentgen,
4.2,cbrn,mRh,milliroentgen per hour (mR/h),
4.2,cbrn,n42Doc,N42 XML document,
4.2,cbrn,UID,Unique Identifier,
4.2,cbrn,uSv,microsieverts,
4.2,cbrn,uSvh,microsieverts per hour (uSv/h),
4.2,cbrn,UTF8,UCS Transformation Format—8-bit,
4.2,cbrn,UUID,Universally Unique Identifier,
4.2,cbrn,X,The first dimension,
4.2,cbrn,XY,A two dimensional array or pair of values for a data point,
4.2,cbrncl,GNDA,Global Nuclear Detection Architecture,
4.2,cbrncl,MIME,Multipurpose Internet Mail Extensions,
4.2,cbrncl,UNECE,United Nations Economic Commission for Europe,
4.2,em,Decon,Decontamination,
4.2,em,EMS,Emergency Medical Service,
4.2,em,EOC,Emergency Operations Center,
4.2,em,Geo,geo-coded,
4.2,em,IMS,Incident Management System,
4.2,em,NIST,National Institute of Standards and Technology,
4.2,em,NPI,National Provider ID,
4.2,em,OBGYN,Obstetrics & Gynecology,
4.2,em,Passcode,,A numeric password.
4.2,em,PHEOC,Public Health Emergency Operations Centers,
4.2,em,SOP,Standard Operating Procedures,
4.2,em,URN,Uniform Resource Name,
4.2,geo,Multi,,one or more
4.2,have-codes,Decon,Decontamination,
4.2,have-codes,EMS,Emergency Medical Service,
4.2,have-codes,EOC,Emergency Operations Center,
4.2,hazmat,UN,United Nations,
4.2,hs,ASFA,Adoption and Safe Families Act,
4.2,hs,Comp,Compensation,
4.2,hs,EBT,Electronic Benefit Transfer,
4.2,hs,FS,Food Stamps,
4.2,hs,ICPC,Interstate Compact on the Placement of Children,
4.2,hs,ICWA,Indian Child Welfare Act,
4.2,hs,NCANDS,National Child Abuse and Neglect Data System,
4.2,hs,NCIC,National Crime Information Center,
4.2,hs,PARIS,Public Assistance Reporting Information System,
4.2,hs,SSA,Social Security Administration,
4.2,hs,SSI,Supplemental Security Income,
4.2,hs,SSN,Social Security Number,
4.2,hs,TANF,Temporary Assistance to Needy Families,
4.2,hs,VA,Veterans Affairs,
4.2,im,F1,F-1 visa,
4.2,im,F2,F-2 visa,
4.2,im,Hague,,"The Hague is the seat of government in the Netherlands, and the capital city of the province of South Holland."
4.2,im,I20s,Form I-20,
4.2,im,ICE,Immigration and Customs Enforcement,
4.2,im,J2,J-2 visa,
4.2,im,K9,canine,
4.2,im,M1,M1 visa,
4.2,im,M2,M2 visa,
4.2,im,PIN,Personal Identification Number,
4.2,im,PL94-484,Public Law 94-484,
4.2,im,SEVIS,Student and Exchange Visitor Information System,
4.2,im,SSN,Social Security Number,
4.2,im,USCIS,United States Citizenship and Immigration Services,
4.2,intel,Alpha2,,Two-letter
4.2,intel,Alpha3,,Three-letter
4.2,intel,CBEFF,Common Biometric Exchange Formats Framework,
4.2,intel,ECR,(Threat Group Member) Criteria for Entry,
4.2,intel,FBI,Federal Bureau of Investigation,
4.2,intel,FIPS,Federal Information Processing Standards,
4.2,intel,INA,Immigration and Nationality Act,
4.2,intel,ISO,International Organization for Standardization,
4.2,intel,NCTC,National Counterterrorism Center,
4.2,iso_3166,Alpha2,,Two-letter
4.2,iso_3166,Alpha3,,Three-letter
4.2,it,ChA1,HMRC Charity application form,
