Release,Abbreviated Name,Full Name,Version,Style,Definition,URI,Locked in 3.0?,Updated in 3.0?
3.0,ansi_d20,ansi_d20,3,External,"Motor vehicle administration codes from ANSI D20, the Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators.  
Publication: ANSI-D20 Data Dictionary Release 5.0.0; 
Version: May 2009; 
http://www.aamva.org/ANSI-D20-Standard-for-Traffic-Records-Systems",http://release.niem.gov/niem/codes/ansi_d20/3.0/,no,yes
3.0,apco,apco_event,3,External,"Association of Public-Safety Communications Officials (APCO) - International, Inc.
Publication: APCO ANS 2.103.1-2012 Public Safety Communications Common Incident Types for Data Exchange; 
Version: 2012; 
http://www.apco911.org",http://release.niem.gov/niem/codes/apco_event/3.0/,no,yes
3.0,appinfo,appinfo,3,Structures,Elements for use within xsd:appinfo to indicate information supporting the data model underlying NIEM.,http://release.niem.gov/niem/appinfo/3.0/,no,yes
3.0,atf,atf,3,External,"Bureau of Alcohol, Tobacco, and Firearms
Date: 2008",http://release.niem.gov/niem/codes/atf/3.0/,no,yes
3.0,biom,biom,3,Domain,Biometric Schema Version 1.0,http://release.niem.gov/niem/domains/biometrics/3.0/,no,yes
3.0,can,post-canada,3,External,"Province codes for Canada.
Publication: Canada Post Addressing Guidelines; 
Date: 14 Jan 2013;   
http://www.canadapost.ca/tools/pg/manual/PGaddress-e.asp#1380608",http://release.niem.gov/niem/codes/canada_post/3.0/,no,yes
3.0,cbrn,cbrn,3,Domain,"Chemical, Biological, Radiological, and Nuclear Domain",http://release.niem.gov/niem/domains/cbrn/3.0/,no,yes
3.0,cbrncl,cbrncl,3,External,"Radiological and Nuclear Code List
Publication: CBRN domain; 
Version: 3.0; 
Date: Oct 2013;   
http://release.niem.gov/niem/3.0/",http://release.niem.gov/niem/codes/cbrncl/3.0/,no,yes
3.0,census,census_uscounty,3,External,"County codes from US Census and ANSI. 
Publication: INCITS 31:2009; 
Version: 2009; 
http://www.census.gov/geo/www/ansi/download.html",http://release.niem.gov/niem/codes/census_uscounty/3.0/,no,yes
3.0,commodity,census_commodity,3,External,"Census and Dept of Transportation.
Publication: CFS-1200 - SCTG COMMODITY CODES; 
Date: 11-15-2011",http://release.niem.gov/niem/codes/census_commodity/3.0/,no,yes
3.0,core_misc,core_misc,3,External,"Non-authoritative codes for the direction of a person's pose in an image.
Source: NIEM 3.0; 
Publication: NIEM 3.0; 
Version: 3.0; 
Date: Oct 2013;   
http://release.niem.gov/niem/3.0/",http://release.niem.gov/niem/codes/core_misc/3.0/,no,yes
3.0,cyfs,cyfs,3,Domain,"Children, Youth, and Family Services",http://release.niem.gov/niem/domains/cyfs/3.0/,no,yes
3.0,dea,dea,3,External,"Drug Enforcement Administration (DEA).
Publication: Controlled Substances - by DEA Drug Code Number; 
Date: 6 Sep 2012; 
http://www.deadiversion.usdoj.gov/schedules/orangebook/d_cs_drugcode.pdf",http://release.niem.gov/niem/codes/dea_ctlsub/3.0/,no,yes
3.0,dod_jcs-pub2.0,dod_jcs-pub2.0,3,External,"Intelligence discipline codes.
Source: DoD Joint Staff; 
Publication: Joint Publication 2.0 - Joint Intelligence; 
Date: 22 Jun 2007;  
http://www.dtic.mil/doctrine/new_pubs/jp2_0.pdf",http://release.niem.gov/niem/codes/dod_jcs-pub2.0/3.0/,no,yes
3.0,dol,dol_soc,3,External,"US Department of Labor occupation codes.
Publication: Standard Occupational Classification (SOC); 
Version: 2010; 
http://www.bls.gov/SOC/",http://release.niem.gov/niem/codes/dol_soc/3.0/,no,yes
