Release,NamespacePrefix,NamespaceFile,VersionURI,VersionReleaseNumber,NamespaceStyle,NamespaceIsExternallyGenerated,IsConformant,Definition
5.2,aamva_d20,aamva_d20,http://release.niem.gov/niem/codes/aamva_d20/5.0/,5,E,0,1,"Motor vehicle administration codes from the Data Dictionary for Traffic Record Systems, maintained by AAMVA, the American Association of Motor Vehicle Administrators."
5.2,ag,agriculture,http://release.niem.gov/niem/domains/agriculture/5.2/,5.2,D,0,1,Agriculture
5.2,ag_codes,ag_codes,http://release.niem.gov/niem/codes/ag_codes/5.0/,5,E,0,1,Agriculture codes
5.2,apco,apco,http://release.niem.gov/niem/codes/apco/5.0/,5,E,0,1,"Association of Public-Safety Communications Officials (APCO) - International, Inc."
5.2,appinfo,appinfo,http://release.niem.gov/niem/appinfo/5.0/,5,S,1,1,Elements for use within xsd:appinfo to indicate information supporting the data model underlying NIEM.
5.2,atf,atf,http://release.niem.gov/niem/codes/atf/5.0/,5,E,0,1,"Bureau of Alcohol, Tobacco, and Firearms"
5.2,biom,biom,http://release.niem.gov/niem/domains/biometrics/5.2/,5.2,D,0,1,Biometric Schema Version 1.0
5.2,bls,bls,http://release.niem.gov/niem/codes/bls/5.0/,5,E,0,1,US Bureau of Labor Statistics (BLS)
5.2,can,canada_post,http://release.niem.gov/niem/codes/canada_post/5.0/,5,E,0,1,Canada Post Addressing Guidelines
5.2,cap,,,1.1,N,1,0,Common Alerting Protocol (CAP) is a simple but general format for exchanging effective warning messages based on best practices identified in academic research and real-world experience.
5.2,cbrn,cbrn,http://release.niem.gov/niem/domains/cbrn/5.2/,5.2,D,0,1,"Chemical, Biological, Radiological, and Nuclear Domain"
5.2,cbrncl,cbrncl,http://release.niem.gov/niem/codes/cbrncl/5.0/,5,E,0,1,NIEM CBRN domain Radiological and Nuclear Code List
5.2,cli,code-lists-instance,http://reference.niem.gov/niem/specification/code-lists/5.0/code-lists-instance/,5,S,1,1,"Definitions for the use of the NIEM Code Lists Specification, version 1.0, in XML message instances."
5.2,clsa,code-lists-schema-appinfo,http://reference.niem.gov/niem/specification/code-lists/5.0/code-lists-schema-appinfo/,5,S,1,1,This schema provides annotations for connecting content defined within an XML Schema document to the content of code lists.
5.2,commodity,commodity,http://release.niem.gov/niem/codes/commodity/5.0/,5,E,0,1,Standard Classification of Transported Goods (SCTG) Commodity Codes
5.2,cui,cui,http://release.niem.gov/niem/auxiliary/cui/5.1/,5.1,AUX,0,1,Controlled Unclassified Information metadata
5.2,cyber,cyber,http://release.niem.gov/niem/domains/cyber/5.2/,5.2,D,0,1,Cyber
5.2,de,,,1,N,1,0,"This Distribution Element specification describes a standard message distribution framework for data sharing among emergency information systems using the XML-based Emergency Data Exchange Language (EDXL). This format may be used over any data transmission system, including but not limited to the SOAP HTTP binding."
5.2,dea,dea,http://release.niem.gov/niem/codes/dea_ctlsub/5.0/,5,E,0,1,Drug Enforcement Administration (DEA) Controlled Substances
5.2,edxl_rm,edxl_rm,http://release.niem.gov/niem/codes/edxl_rm/5.0/,5,E,0,1,Emergency Data Exchange Language Resource Messaging (EDXL-RM) specification
5.2,edxl-cap,edxl-cap,http://release.niem.gov/niem/adapters/edxl-cap/5.0/,5,A,0,1,Common Alerting Protocol
5.2,edxl-de,edxl-de,http://release.niem.gov/niem/adapters/edxl-de/5.0/,5,A,0,1,Distribution Element
5.2,edxl-have,edxl-have,http://release.niem.gov/niem/adapters/edxl-have/5.0/,5,A,0,1,"EDXL-HAVE specifies an XML document format that allows the communication of the status of a hospital, its services, and its resources. These include bed capacity and availability, emergency department status, available service coverage, and the status of a hospital's facility and operations."
5.2,em,emergencyManagement,http://release.niem.gov/niem/domains/emergencyManagement/5.2/,5.2,D,0,1,Emergency Management
5.2,fema,fema,http://release.niem.gov/niem/codes/fema/5.1/,5.1,E,0,1,Federal Emergency Management Agency
5.2,fips,fips,http://release.niem.gov/niem/codes/fips/5.2/,5.2,E,0,1,U.S. Census Bureau Federal Information Processing System (FIPS) codes for U.S. states and counties
5.2,genc,genc,http://release.niem.gov/niem/codes/genc/5.0/,5,E,0,1,"Geopolitical Entities, Names, and Codes (GENC) country and country subdivision codes.  This is a profile of ISO 3166 that addresses unique U.S. government requirements."
5.2,geo,geospatial,http://release.niem.gov/niem/adapters/geospatial/5.1/,5.1,A,0,1,"NIEM adapter types for geospatial components from GML 3.2.1, a subset of which is included with this release as an external standard.  The Geography Markup Language (GML) is defined by the Open Geospatial Consortium (OGC)."
5.2,gml,,,3.2.1,N,1,0,"Geography Markup Language (GML) version 3.2.1 schemas.  See http://www.opengeospatial.org OGC document 07-036 for documentation: ""The Geography Markup Language (GML) was originally developed within the Open Geospatial Consortium, Inc. (OGC). ISO 19136 was prepared by ISO/TC 211 jointly with the OGC.""  See http://schemas.opengis.net/gml/ for schemas."
5.2,have,,,1,N,1,0,Hospital Availability Exchange (HAVE)
5.2,have-codes,have-codes,http://release.niem.gov/niem/codes/edxl_have/5.0/,5,E,0,1,Emergency Data Exchange Language (EDXL) Hospital AVailability Exchange (HAVE) codes
5.2,hazmat,hazmat,http://release.niem.gov/niem/codes/hazmat/5.0/,5,E,0,1,US Department of Transportation (DoT) Pipeline and Hazardous Materials Safety Administration (PHMSA) List of Hazardous Materials
5.2,hl7,hl7,http://release.niem.gov/niem/codes/hl7/5.0/,5,E,0,1,Health Level Seven (HL-7) Fast Healthcare Interoperability Resources (FHIR)
5.2,hs,hs,http://release.niem.gov/niem/domains/humanServices/5.2/,5.2,D,0,1,Human Services
5.2,im,immigration,http://release.niem.gov/niem/domains/immigration/5.2/,5.2,D,0,1,Immigration
5.2,intel,intelligence,http://release.niem.gov/niem/domains/intelligence/5.2/,5.2,D,0,1,Intelligence
5.2,ip,infrastructureProtection,http://release.niem.gov/niem/domains/infrastructureProtection/5.0/,5,D,0,1,Infrastructure Protection
5.2,iso_3166,iso_3166,http://release.niem.gov/niem/codes/iso_3166-1/5.0/,5,E,0,1,ISO 3166 - Codes for the representation of names of countries and their subdivisions
5.2,iso_4217,iso_4217,http://release.niem.gov/niem/codes/iso_4217/5.0/,5,E,0,1,ISO 4217 - Codes for the representation of currencies and funds
5.2,iso_639-3,iso_639-3,http://release.niem.gov/niem/codes/iso_639-3/5.1/,5.1,E,0,1,ISO 639-3: Codes for the representation of names of languages
5.2,iso_639-5,iso_639-5,http://release.niem.gov/niem/codes/iso_639-5/5.2/,5.2,E,0,1,Codes for the representation of names of languages
5.2,it,internationalTrade,http://release.niem.gov/niem/domains/internationalTrade/5.2/,5.2,D,0,1,International Trade
5.2,itcodes,it_codes,http://release.niem.gov/niem/codes/it_codes/5.0/,5,E,0,1,NIEM International Trade domain codes
5.2,j,jxdm,http://release.niem.gov/niem/domains/jxdm/7.2/,7.2,D,0,1,Justice
5.2,jc3iedm,jc3iedm,http://release.niem.gov/niem/codes/jc3iedm/5.0/,5,E,0,1,"U.S. Department of Defense (DoD) Joint Consultation, Command and Control Information Exchange Data Model"
5.2,jp2-0,jp2-0,http://release.niem.gov/niem/codes/jp2-0/5.0/,5,E,0,1,DoD Joint Publication 2.0 - Joint Intelligence
5.2,jp3-52,jp3-52,http://release.niem.gov/niem/codes/jp3-52/5.0/,5,E,0,1,JP3-52 Joint Airspace Control Codes
5.2,lrn-dev,learn-dev,http://release.niem.gov/niem/domains/learn-dev/5.2/,5.2,D,0,1,Learning and Development
5.2,m,maritime,http://release.niem.gov/niem/domains/maritime/5.2/,5.2,D,0,1,Maritime
5.2,mmucc,mmucc,http://release.niem.gov/niem/codes/mmucc/5.0/,5,E,0,1,Model Minimum Uniform Crash Criteria
5.2,mo,mo,http://release.niem.gov/niem/domains/militaryOperations/5.2/,5.2,D,0,1,MilOps - Distribution A
5.2,nc,niem-core,http://release.niem.gov/niem/niem-core/5.0/,5,C,0,1,NIEM Core.
