ns_prefix,parent_property_name,property_name,type_prefix,type_name,definition
nc,Activity,Activity,nc,ActivityType,"A single or set of related actions, events, or process steps."
nc,Activity,ActivityActualDuration,niem-xs,duration,An actual duration of an activity.
nc,Activity,ActivityApprovedIndicator,niem-xs,boolean,True if the activity request was approved; false otherwise.
nc,Activity,ActivityAssignedDate,nc,DateType,A date on which an activity was assigned.
nc,Activity,ActivityAugmentationPoint,,,An augmentation point for ActivityType.
nc,Activity,ActivityCapacityQuantity,nc,QuantityType,A number for the specified maximum enrollment capacity of an activity.
nc,Activity,ActivityCategoryAbstract,,,A data concept for a kind of activity.
nc,Activity,ActivityComment,nc,CommentType,A comment about the activity.
nc,Activity,ActivityCompletedIndicator,niem-xs,boolean,True if an activity has ended; false otherwise.
nc,Activity,ActivityContactEntity,nc,EntityType,A person or organization to contact for additional information about an activity.
nc,Activity,ActivityDate,nc,DateType,A date of an activity.
nc,Activity,ActivityDescriptionText,nc,TextType,A description of an activity.
nc,Activity,ActivityDisposition,nc,DispositionType,A result or outcome of an activity.
nc,Activity,ActivityDueDate,nc,DateType,A date when an activity is expected to be completed.
nc,Activity,ActivityEffectiveDate,nc,DateType,A date when an activity is ready for service or action.
nc,Activity,ActivityEstimatedDuration,niem-xs,duration,An expected amount of time an activity should last.
nc,Activity,ActivityFrequencyText,nc,TextType,A description of the number of occurrences of an activity over a period of time.
nc,Activity,ActivityIdentification,nc,IdentificationType,An identification that references an activity.
nc,Activity,ActivityLocation,nc,LocationType,A location of an activity.
nc,Activity,ActivityName,nc,TextType,A name of an activity.
nc,Activity,ActivityNarrative,nc,CommentType,An account of an activity as reported by an observer.
nc,Activity,ActivityPrescribedDuration,niem-xs,duration,A prescribed period of time allowed or required for an activity.
nc,Activity,ActivityReasonAbstract,,,A data concept for a reason for an activity.
nc,Activity,ActivityReportedDate,nc,DateType,A date an activity was reported to some entity.
nc,Activity,ActivityRequestedDate,nc,DateType,A date an activity was requested by an entity.
nc,Activity,ActivityScheduledDate,nc,DateType,A date when an activity is scheduled.
nc,Activity,ActivitySequenceNumeric,nc,NumericType,A numerical identifier across multiple activities to define the order that they should be scheduled and undertaken.
nc,Activity,ActivityStatus,nc,StatusType,A status of an activity.
nc,Activity,ActivityVerifiedDate,nc,DateType,A date when an activity is verified.
nc,Address,Address,nc,AddressType,"A set of location information, often described by postal information."
nc,Address,AddressAugmentationPoint,,,An augmentation point for AddressType.
nc,Address,AddressCategoryAbstract,,,A data concept for a kind of address.
nc,Address,AddressCityName,nc,ProperNameTextType,A name of a city or town.
nc,Address,AddressCountry,nc,CountryType,"A country, territory, dependency, or other such geopolitical subdivision of a location."
nc,Address,AddressCountyAbstract,,,"A data concept for a county, parish, vicinage, or other such geopolitical subdivision of a state."
nc,Address,AddressDeliveryPointAbstract,,,A data concept for a single place or unit at which mail is delivered.
nc,Address,AddressFullText,nc,TextType,A complete address.
nc,Address,AddressPostalCode,niem-xs,string,An identifier of a post office-assigned zone for an address.
nc,Address,AddressPostalExtensionCode,niem-xs,string,An identifier of a smaller area within a post office-assigned zone for an address.
nc,Address,AddressPrivateMailboxText,nc,TextType,A private mailbox within a company.
nc,Address,AddressRecipientName,nc,TextType,"A name of a person, organization, or other recipient to whom physical mail may be sent."
nc,Address,AddressSecondaryUnitText,nc,TextType,A particular unit within a larger unit or grouping at a location.
nc,Address,AddressState,nc,StateType,"A state, commonwealth, province, or other such geopolitical subdivision of a country."
nc,Address,AddressUrbanizationName,nc,TextType,"An urbanization denotes an area, sector, or residential development within a geographic area. Commonly used in Puerto Rican urban areas, it is an important part of the addressing format, as it describes the location of a specific street whose name may occur multiple times within the same ZIP Code."
nc,Association,Association,nc,AssociationType,"An association, connection, relationship, or involvement somehow linking people, things, and/or activities together."
nc,Association,AssociationAugmentationPoint,,,An augmentation point for AssociationType.
nc,Association,AssociationDateRange,nc,DateRangeType,A date range in which an association occurs.
nc,Association,AssociationDescriptionText,nc,TextType,A description of an association.
nc,Case,Case,nc,CaseType,An aggregation of information about a set of related activities and events.
