Release,PropertyNS,PropertyName,QualifiedType,Definition,SubstitutionGroupQualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,QualifiedProperty
3.0,j,ActivityChargeAssociation,j:ActivityChargeAssociationType,An association between an activity and a charge.,,TRUE,FALSE,,,,j:ActivityChargeAssociation
3.0,j,ActivityChargeAssociationAugmentationPoint,,An augmentation point for ActivityChargeAssociationType.,,TRUE,TRUE,,,,j:ActivityChargeAssociationAugmentationPoint
3.0,j,ActivityClearerPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who cleared information for that activity.,,TRUE,FALSE,,,,j:ActivityClearerPersonAssociation
3.0,scr,ActivityCommentText,nc:TextType,A note or comment about an activity.,,TRUE,FALSE,,,,scr:ActivityCommentText
3.0,j,ActivityCommunityServiceAssociation,j:ActivityCommunityServiceAssociationType,An association between an activity and an assignment of community service.,,TRUE,FALSE,,,,j:ActivityCommunityServiceAssociation
3.0,j,ActivityCommunityServiceAssociationAugmentationPoint,,An augmentation point for ActivityCommunityServiceAssociationType.,,TRUE,TRUE,,,,j:ActivityCommunityServiceAssociationAugmentationPoint
3.0,j,ActivityContactInformationAssociation,j:ActivityContactInformationAssociationType,An association between an activity and contact information for that activity.,,TRUE,FALSE,,,,j:ActivityContactInformationAssociation
3.0,j,ActivityContactInformationAssociationAugmentationPoint,,An augmentation point for ActivityContactInformationAssociationType.,,TRUE,TRUE,,,,j:ActivityContactInformationAssociationAugmentationPoint
3.0,nc,ActivityConveyanceAssociation,nc:ActivityConveyanceAssociationType,An association between an activity and a conveyance.,,TRUE,FALSE,,,,nc:ActivityConveyanceAssociation
3.0,nc,ActivityConveyanceAssociationAugmentationPoint,,An augmentation point for ActivityConveyanceAssociationType.,,TRUE,TRUE,,,,nc:ActivityConveyanceAssociationAugmentationPoint
3.0,j,ActivityCounselingAssociation,j:ActivityCounselingAssociationType,An association between an activity and counseling.,,TRUE,FALSE,,,,j:ActivityCounselingAssociation
3.0,j,ActivityCounselingAssociationAugmentationPoint,,An augmentation point for ActivityCounselingAssociationType.,,TRUE,TRUE,,,,j:ActivityCounselingAssociationAugmentationPoint
3.0,j,ActivityCourtAssociation,j:ActivityCourtAssociationType,An association between an activity and a court.,,TRUE,FALSE,,,,j:ActivityCourtAssociation
3.0,j,ActivityCourtAssociationAugmentationPoint,,An augmentation point for ActivityCourtAssociationType.,,TRUE,TRUE,,,,j:ActivityCourtAssociationAugmentationPoint
3.0,j,ActivityCourtOrderAssociation,j:ActivityCourtOrderAssociationType,An association between an activity and a court order.,,TRUE,FALSE,,,,j:ActivityCourtOrderAssociation
3.0,j,AbscondIndicator,niem-xs:boolean,True if person under supervision has departed secretly to evade legal process; false otherwise.,,TRUE,FALSE,,,,j:AbscondIndicator
3.0,gml,AbstractFeature,,"This abstract element serves as the head of a substitution group which may contain any elements whose content model is derived from gml:AbstractFeatureType.  This may be used as a variable in the construction of content models.   gml:AbstractFeature may be thought of as ""anything that is a GML feature"" and may be used to define variables or templates in which the value of a GML property is ""any feature"". This occurs in particular in a GML feature collection where the feature member properties contain one or multiple copies of gml:AbstractFeature respectively.",,TRUE,FALSE,,,,gml:AbstractFeature
3.0,gml,AbstractGeometry,,The AbstractGeometry element is the abstract head of the substitution group for all geometry elements of GML. This includes pre-defined and user-defined geometry elements. Any geometry element shall be a direct or indirect extension/restriction of AbstractGeometryType and shall be directly or indirectly in the substitution group of AbstractGeometry.,,TRUE,FALSE,,,,gml:AbstractGeometry
3.0,cyfs,AbuseNeglectAllegationCategoryText,nc:TextType,"A kind of allegation of abuse, sexual abuse, or neglect, provided by the referral or by the reporter at the time of investigation.",,TRUE,FALSE,,,,cyfs:AbuseNeglectAllegationCategoryText
3.0,cyfs,AbuseNeglectAllegationOriginationText,nc:TextType,"A specification of where the allegation originated, such as whether the allegation was alleged by a reporter or collected during the investigation.",,TRUE,FALSE,,,,cyfs:AbuseNeglectAllegationOriginationText
3.0,cyfs,AbuseNeglectDetailCategoryText,nc:TextType,A kind of injury suffered by the alleged victim of abuse or neglect.,,TRUE,FALSE,,,,cyfs:AbuseNeglectDetailCategoryText
3.0,cyfs,AbuseNeglectHarmAgeText,nc:TextType,"A narrative description of the age of the injury, such as may be indicated by the coloration of a bruise.",,TRUE,FALSE,,,,cyfs:AbuseNeglectHarmAgeText
3.0,cyfs,AbuseNeglectInjury,cyfs:AbuseNeglectInjuryType,A form of physical harm or damage sustained by the survivor of abuse or neglect.,,TRUE,FALSE,,,,cyfs:AbuseNeglectInjury
3.0,cyfs,AbuseNeglectInjuryAugmentationPoint,,An augmentation point for AbuseNeglectInjuryType.,,TRUE,TRUE,,,,cyfs:AbuseNeglectInjuryAugmentationPoint
3.0,cyfs,AbuseNeglectReportedIndicator,niem-xs:boolean,True if the case manager made an abuse or neglect report; false otherwise.,,TRUE,FALSE,,,,cyfs:AbuseNeglectReportedIndicator
3.0,cyfs,AbuseNeglectSeverity,,A data concept for describing the severity of abuse or neglect.,,TRUE,TRUE,,,,cyfs:AbuseNeglectSeverity
3.0,cyfs,AbuseNeglectSeverityCode,cyfs:AbuseNeglectSeverityCodeType,A severity description of each type of abuse and/or neglect on a client.,cyfs:AbuseNeglectSeverity,TRUE,FALSE,,,,cyfs:AbuseNeglectSeverityCode
3.0,cyfs,AbuseNeglectSeverityText,nc:TextType,A severity description of each type of abuse and/or neglect on a client.,cyfs:AbuseNeglectSeverity,TRUE,FALSE,,,,cyfs:AbuseNeglectSeverityText
3.0,im,AcademicProgramText,nc:TextType,A field detailing the alien students academic program.,,TRUE,FALSE,,,,im:AcademicProgramText
3.0,im,AcademicTermLengthQuantity,nc:QuantityType,A number of the estimated time (duration) of an alien students academic-term.,,TRUE,FALSE,,,,im:AcademicTermLengthQuantity
3.0,scr,AccessControlLevelCodeValue,niem-xs:integer,A number value for the access control level to be applied to the record,,TRUE,FALSE,,,,scr:AccessControlLevelCodeValue
3.0,j,AccessoryAssociation,j:SubjectPersonAssociationType,A relationship between a subject and a person.,,TRUE,FALSE,,,,j:AccessoryAssociation
3.0,scr,AccompaniedByFamilyIndicator,niem-xs:boolean,True if a subject is accompanied by a family member when entering the United States; false otherwise.,,TRUE,FALSE,,,,scr:AccompaniedByFamilyIndicator
3.0,j,AccompliceAssociation,j:SubjectPersonAssociationType,An association between an accomplice and a subject.,,TRUE,FALSE,,,,j:AccompliceAssociation
3.0,cbrn,AcknowledgementData,cbrn:AcknowledgementDataType,A set of data regarding an acknowledgement.,,TRUE,FALSE,,,,cbrn:AcknowledgementData
3.0,cbrn,AcknowledgementDataAugmentationPoint,,An augmentation point for cbrn:AcknowledgementDataType.,,TRUE,TRUE,,,,cbrn:AcknowledgementDataAugmentationPoint
3.0,scr,AcknowledgementDate,nc:DateType,A date that the request is ready for processing in the US-VISIT/IDENT system.,,TRUE,FALSE,,,,scr:AcknowledgementDate
3.0,cbrn,AcknowledgementDateTime,niem-xs:dateTime,A Date/time when an acknowledgement was generated.,,TRUE,FALSE,,,,cbrn:AcknowledgementDateTime
3.0,cbrn,AcknowledgementID,niem-xs:string,A unique identifier of an acknowledgement.,,TRUE,FALSE,,,,cbrn:AcknowledgementID
3.0,cbrn,AcknowledgingActivityName,niem-xs:string,A name of the activity that produced an acknowledgement. This property can be used to provide data for workflow coordination by the sending or receiving systems.,,TRUE,FALSE,,,,cbrn:AcknowledgingActivityName
3.0,cbrn,AcknowledgingAgency,cbrn:AcknowledgingAgencyType,An organization that is responsible for generating an acknowledgement message.,,TRUE,FALSE,,,,cbrn:AcknowledgingAgency
3.0,cbrn,AcknowledgingAgencyAugmentationPoint,,An augmentation point for cbrn:AcknowledgingAgencyType.,,TRUE,TRUE,,,,cbrn:AcknowledgingAgencyAugmentationPoint
3.0,cbrn,AcknowledgingAgencyCode,cbrncl:GNDAOrgCodeType,An organization that is responsible for generating an acknowledgement.,,TRUE,FALSE,,,,cbrn:AcknowledgingAgencyCode
3.0,nc,AcquaintanceAssociation,nc:PersonAssociationType,An association between people who recognize each other but do not know each other very well.,,TRUE,FALSE,,,,nc:AcquaintanceAssociation
3.0,biom,AcquisitionSourceAugmentationPoint,,An augmentation point for CaptureSource,,TRUE,TRUE,,,,biom:AcquisitionSourceAugmentationPoint
3.0,biom,AcquisitionSourceCategoryText,nc:TextType,A kind of biometric capture source (system name etc.).,,TRUE,FALSE,,,,biom:AcquisitionSourceCategoryText
3.0,biom,AcquisitionSourceCode,biom:AcquisitionSourceCodeType,A kind of acquisition method for the source representation,,TRUE,FALSE,,,,biom:AcquisitionSourceCode
3.0,biom,AcquisitionSourceDescriptionText,nc:TextType,A description of a vendor-specified source of an image,,TRUE,FALSE,,,,biom:AcquisitionSourceDescriptionText
3.0,cyfs,ActionRequested,,"A data concept for describing an agency's request for court action, based upon the needs of the child, youth, or family.",,TRUE,TRUE,,,,cyfs:ActionRequested
3.0,cyfs,ActionRequestedCode,cyfs:ActionRequestedCodeType,"A code indicating any of the actions being requested of the court e.g. what types of services the child needs  (e.g. mental health, medical, emergency, basic, therapeutic, habilitative).",cyfs:ActionRequested,TRUE,FALSE,,,,cyfs:ActionRequestedCode
3.0,cyfs,ActionRequestedText,nc:TextType,An action being requested.,cyfs:ActionRequested,TRUE,FALSE,,,,cyfs:ActionRequestedText
3.0,nc,Activity,nc:ActivityType,"A single or set of related actions, events, or process steps.",,TRUE,FALSE,,,,nc:Activity
3.0,nc,ActivityAdministratorOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization which administers it.,,TRUE,FALSE,,,,nc:ActivityAdministratorOrganizationAssociation
3.0,nc,ActivityAdministratorPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who administers it.,,TRUE,FALSE,,,,nc:ActivityAdministratorPersonAssociation
3.0,j,ActivityArrestAssociation,j:ActivityArrestAssociationType,An association between an activity and an arrest.,,TRUE,FALSE,,,,j:ActivityArrestAssociation
3.0,j,ActivityArrestAssociationAugmentationPoint,,An augmentation point for ActivityArrestAssociationType.,,TRUE,TRUE,,,,j:ActivityArrestAssociationAugmentationPoint
3.0,j,ActivityAssistingPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and someone who assists with that activity.,,TRUE,FALSE,,,,j:ActivityAssistingPersonAssociation
3.0,j,ActivityAugmentation,j:ActivityAugmentationType,Additional information about an activity.,nc:ActivityAugmentationPoint,TRUE,FALSE,,,,j:ActivityAugmentation
3.0,nc,ActivityAugmentationPoint,,An augmentation point for ActivityType.,,TRUE,TRUE,,,,nc:ActivityAugmentationPoint
3.0,nc,ActivityBillRecipientOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization which receives a bill for the activity.,,TRUE,FALSE,,,,nc:ActivityBillRecipientOrganizationAssociation
3.0,nc,ActivityBillRecipientPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who receives a bill for the activity.,,TRUE,FALSE,,,,nc:ActivityBillRecipientPersonAssociation
3.0,j,ActivityCaseAssociation,j:ActivityCaseAssociationType,An association between an activity and a case.,,TRUE,FALSE,,,,j:ActivityCaseAssociation
3.0,j,ActivityCaseAssociationAugmentationPoint,,An augmentation point for ActivityCaseAssociationType.,,TRUE,TRUE,,,,j:ActivityCaseAssociationAugmentationPoint
3.0,nc,ActivityCategoryText,nc:TextType,A kind of activity.,,TRUE,FALSE,,"For an arrest, this could be ""felony arrest"".  For an incident, this could be ""burglary"".  For an encounter, this could be ""interview"".",,nc:ActivityCategoryText
3.0,j,ActivityCourtOrderAssociationAugmentationPoint,,An augmentation point for ActivityCourtOrderAssociationType.,,TRUE,TRUE,,,,j:ActivityCourtOrderAssociationAugmentationPoint
3.0,j,ActivityCriminalOrganizationAssociation,j:ActivityCriminalOrganizationAssociationType,An association between an activity and a criminal organization.,,TRUE,FALSE,,,,j:ActivityCriminalOrganizationAssociation
3.0,j,ActivityCriminalOrganizationAssociationAugmentationPoint,,An augmentation point for ActivityCriminalOrganizationAssociationType.,,TRUE,TRUE,,,,j:ActivityCriminalOrganizationAssociationAugmentationPoint
3.0,j,ActivityCustodyTransferAssociation,j:ActivityCustodyTransferAssociationType,An association between an activity and transfer of custody.,,TRUE,FALSE,,,,j:ActivityCustodyTransferAssociation
3.0,j,ActivityCustodyTransferAssociationAugmentationPoint,,An augmentation point for ActivityCustodyTransferAssociationType.,,TRUE,TRUE,,,,j:ActivityCustodyTransferAssociationAugmentationPoint
3.0,nc,ActivityDate,nc:DateType,A date of an activity.,nc:ActivityDateRepresentation,TRUE,FALSE,,,,nc:ActivityDate
3.0,nc,ActivityDateRange,nc:DateRangeType,A period of time over which an activity occurs.,nc:ActivityDateRepresentation,TRUE,FALSE,,,,nc:ActivityDateRange
3.0,nc,ActivityDateRepresentation,,A data concept for a date an activity occurs.,,TRUE,TRUE,,,,nc:ActivityDateRepresentation
3.0,nc,ActivityDescriptionText,nc:TextType,A description of an activity.,,TRUE,FALSE,,,,nc:ActivityDescriptionText
3.0,j,ActivityDispatcherAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who assigns people or units to respond to an activity or location.,,TRUE,FALSE,,,,j:ActivityDispatcherAssociation
3.0,nc,ActivityDisposition,nc:DispositionType,A result or outcome of an activity.,,TRUE,FALSE,,,,nc:ActivityDisposition
3.0,nc,ActivityDocumentAssociation,nc:ActivityDocumentAssociationType,An association between an activity and a document.,,TRUE,FALSE,,,,nc:ActivityDocumentAssociation
3.0,nc,ActivityDocumentAssociationAugmentationPoint,,An augmentation point for ActivityDocumentAssociationType.,,TRUE,TRUE,,,,nc:ActivityDocumentAssociationAugmentationPoint
3.0,j,ActivityDocumentServer,nc:EntityType,An entity responsible for service of a legal document.,,TRUE,FALSE,,,"For example, a warrant or a restraining order.",j:ActivityDocumentServer
3.0,j,ActivityDocumentValidator,nc:EntityType,An entity to contact to validate a document.,,TRUE,FALSE,,,The document could be a warrant.,j:ActivityDocumentValidator
3.0,j,ActivityDriverLicenseAssociation,j:ActivityDriverLicenseAssociationType,An association between an activity and a driver license.,,TRUE,FALSE,,,,j:ActivityDriverLicenseAssociation
3.0,j,ActivityDriverLicenseAssociationAugmentationPoint,,An augmentation point for ActivityDriverLicenseAssociationType.,,TRUE,TRUE,,,,j:ActivityDriverLicenseAssociationAugmentationPoint
3.0,j,ActivityEmailAddressAssociation,j:ActivityEmailAddressAssociationType,A relationship between an activity and an email address.,,TRUE,FALSE,,,,j:ActivityEmailAddressAssociation
3.0,j,ActivityEmailAddressAssociationAugmentationPoint,,An augmentation point for ActivityEmailAddressAssociationType.,,TRUE,TRUE,,,,j:ActivityEmailAddressAssociationAugmentationPoint
3.0,j,ActivityEmployeeAssociation,j:ActivityEmployeeAssociationType,An association between an activity and an employee.,,TRUE,FALSE,,,,j:ActivityEmployeeAssociation
3.0,j,ActivityEmployeeAssociationAugmentationPoint,,An augmentation point for ActivityEmployeeAssociationType.,,TRUE,TRUE,,,,j:ActivityEmployeeAssociationAugmentationPoint
3.0,j,ActivityEnforcementOfficialAssociation,nc:ActivityPersonAssociationType,An association between an activity and an enforcement official.,,TRUE,FALSE,,,,j:ActivityEnforcementOfficialAssociation
3.0,j,ActivityEvidenceAssociation,j:ActivityEvidenceAssociationType,An association between an activity and evidence.,,TRUE,FALSE,,,,j:ActivityEvidenceAssociation
3.0,j,ActivityEvidenceAssociationAugmentationPoint,,An augmentation point for ActivityEvidenceAssociationType.,,TRUE,TRUE,,,,j:ActivityEvidenceAssociationAugmentationPoint
3.0,j,ActivityEvidenceLedgerAssociation,nc:ActivityDocumentAssociationType,An association between an activity and an evidence ledger.,,TRUE,FALSE,,,,j:ActivityEvidenceLedgerAssociation
3.0,nc,ActivityFacilityAssociation,nc:ActivityFacilityAssociationType,An association between an activity and a facility.,,TRUE,FALSE,,,,nc:ActivityFacilityAssociation
3.0,nc,ActivityFacilityAssociationAugmentationPoint,,An augmentation point for ActivityFacilityAssociationType.,,TRUE,TRUE,,,,nc:ActivityFacilityAssociationAugmentationPoint
3.0,j,ActivityFeeAssociation,j:ActivityFeeAssociationType,An association between an activity and a fee.,,TRUE,FALSE,,,,j:ActivityFeeAssociation
3.0,j,ActivityFeeAssociationAugmentationPoint,,An augmentation point for ActivityFeeAssociationType.,,TRUE,TRUE,,,,j:ActivityFeeAssociationAugmentationPoint
3.0,j,ActivityForceAssociation,j:ActivityForceAssociationType,An association between an activity and a use of force.,,TRUE,FALSE,,,,j:ActivityForceAssociation
3.0,j,ActivityForceAssociationAugmentationPoint,,An augmentation point for ActivityForceAssociationType.,,TRUE,TRUE,,,,j:ActivityForceAssociationAugmentationPoint
3.0,nc,ActivityIdentification,nc:IdentificationType,An identification that references an activity.,,TRUE,FALSE,,,,nc:ActivityIdentification
3.0,j,ActivityIncidentAssociation,j:ActivityIncidentAssociationType,An association between an activity and an incident.,,TRUE,FALSE,,,,j:ActivityIncidentAssociation
3.0,j,ActivityIncidentAssociationAugmentationPoint,,An augmentation point for ActivityIncidentAssociationType.,,TRUE,TRUE,,,,j:ActivityIncidentAssociationAugmentationPoint
3.0,nc,ActivityInformationAbstracterOrganizationAssociation,nc:ActivityOrganizationAssociationType,An association between an activity and an organization that abstracted information for that activity.,,TRUE,FALSE,,,,nc:ActivityInformationAbstracterOrganizationAssociation
3.0,j,ActivityInformationAbstracterPersonAssociation,nc:ActivityPersonAssociationType,An association between an activity and a person who abstracted information about that activity.,,TRUE,FALSE,,,,j:ActivityInformationAbstracterPersonAssociation
