Release,PropertyNamespacePrefix,PropertyName,QualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,Definition,TypeNamespacePrefix,TypeName,QualifiedType,SubstitutionGroupPropertyNamespacePrefix,SubstitutionGroupPropertyName,SubstitutionGroupQualifiedProperty
3.2,j,ActivitySanctionAssociation,j:ActivitySanctionAssociation,TRUE,FALSE,,,,An association between an activity and a sanction.,j,ActivitySanctionAssociationType,j:ActivitySanctionAssociationType,,,
3.2,j,ActivitySanctionAssociationAugmentationPoint,j:ActivitySanctionAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivitySanctionAssociationType.,,,,,,
3.2,nc,ActivityScheduleAssociation,nc:ActivityScheduleAssociation,TRUE,FALSE,,,,An association between an activity and its schedule.,nc,ActivityScheduleAssociationType,nc:ActivityScheduleAssociationType,,,
3.2,nc,ActivityScheduleAssociationAugmentationPoint,nc:ActivityScheduleAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivityScheduleAssociationType.,,,,,,
3.2,j,ActivityScheduledDate,j:ActivityScheduledDate,TRUE,FALSE,,,,A date when an activity is scheduled.,nc,DateType,nc:DateType,,,
3.2,j,ActivitySentenceComputationAssociation,j:ActivitySentenceComputationAssociation,TRUE,FALSE,,,,A relationship between an activity and a sentence computation.,j,ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationType,,,
3.2,j,ActivitySentenceComputationAssociationAugmentationPoint,j:ActivitySentenceComputationAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivitySentenceComputationAssociationType.,,,,,,
3.2,j,ActivitySequenceNumeric,j:ActivitySequenceNumeric,TRUE,FALSE,,,,A numerical identifier across multiple activities to define the order that they should be scheduled and undertaken.,nc,NumericType,nc:NumericType,,,
3.2,j,ActivityServiceCallAssociation,j:ActivityServiceCallAssociation,TRUE,FALSE,,,,An association between an activity and a service call.,j,ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationType,,,
3.2,j,ActivityServiceCallAssociationAugmentationPoint,j:ActivityServiceCallAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivityServiceCallAssociationType.,,,,,,
3.2,j,ActivitySignature,j:ActivitySignature,TRUE,FALSE,,,,A signature associated with an activity event.,j,SignatureType,j:SignatureType,,,
3.2,nc,ActivitySiteAssociation,nc:ActivitySiteAssociation,TRUE,FALSE,,,,An association between an activity and a site.,nc,ActivitySiteAssociationType,nc:ActivitySiteAssociationType,,,
3.2,nc,ActivitySiteAssociationAugmentationPoint,nc:ActivitySiteAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for nc:ActivitySiteAssociationType.,,,,,,
3.2,scr,ActivitySiteID,scr:ActivitySiteID,TRUE,FALSE,,,,An identifier for the site where the information was collected.,niem-xs,string,niem-xs:string,,,
3.2,nc,ActivityStatus,nc:ActivityStatus,TRUE,FALSE,,,,A status of an activity.,nc,StatusType,nc:StatusType,,,
3.2,j,ActivitySubjectAssociation,j:ActivitySubjectAssociation,TRUE,FALSE,,,,An association between an activity and a subject.,j,ActivitySubjectAssociationType,j:ActivitySubjectAssociationType,,,
3.2,j,ActivitySubjectAssociationAugmentationPoint,j:ActivitySubjectAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivitySubjectAssociationType.,,,,,,
3.2,nc,ActivitySupervisorOrganizationAssociation,nc:ActivitySupervisorOrganizationAssociation,TRUE,FALSE,,,,An association between an activity and an organization supervising that activity.,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,,,
3.2,nc,ActivitySupervisorPersonAssociation,nc:ActivitySupervisorPersonAssociation,TRUE,FALSE,,,,An association between an activity and a person who supervises the activity.,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,,,
3.2,j,ActivitySupplementalDocumentAssociation,j:ActivitySupplementalDocumentAssociation,TRUE,FALSE,,,,An association between an activity and a supplemental document.,nc,ActivityDocumentAssociationType,nc:ActivityDocumentAssociationType,,,
3.2,j,ActivityTelephoneNumberAssociation,j:ActivityTelephoneNumberAssociation,TRUE,FALSE,,,,A relationship between an activity and a telephone number.,j,ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationType,,,
