Release,QualifiedType,QualifiedProperty,MinOccurs,MaxOccurs,Definition
3.0,cyfs:AbuseNeglectInjuryType,cyfs:AbuseNeglectHarmAgeText,0,unbounded,
3.0,cyfs:AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryAugmentationPoint,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:AcknowledgingActivityName,0,unbounded,
3.0,cbrn:AcknowledgementDataType,nc:SystemUserName,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:TraversalOperatingMode,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:AcknowledgementDateTime,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:AcknowledgementID,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:CredentialsAuthentication,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:ScanIdentifierData,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:AcknowledgingAgency,0,unbounded,
3.0,cbrn:AcknowledgementDataType,cbrn:AcknowledgementDataAugmentationPoint,0,unbounded,
3.0,cbrn:AcknowledgingAgencyType,cbrn:AcknowledgingAgencyCode,0,unbounded,
3.0,cbrn:AcknowledgingAgencyType,nc:OrganizationName,0,unbounded,
3.0,cbrn:AcknowledgingAgencyType,nc:OrganizationIdentification,0,unbounded,
3.0,cbrn:AcknowledgingAgencyType,cbrn:AcknowledgingAgencyAugmentationPoint,0,unbounded,
3.0,biom:AcquisitionSourceType,biom:AcquisitionSourceCategoryText,0,unbounded,
3.0,biom:AcquisitionSourceType,biom:AcquisitionSourceDescriptionText,0,unbounded,
3.0,biom:AcquisitionSourceType,biom:AcquisitionSourceAugmentationPoint,0,unbounded,
3.0,j:ActivityArrestAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityArrestAssociationType,j:Arrest,0,unbounded,
3.0,j:ActivityArrestAssociationType,j:ActivityArrestAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityAugmentationType,j:CaseLinkage,0,unbounded,
3.0,j:ActivityAugmentationType,j:Narrative,0,unbounded,
3.0,j:ActivityAugmentationType,j:CaseNumberText,0,unbounded,
3.0,j:ActivityAugmentationType,j:ActivityDocumentServer,0,unbounded,
3.0,j:ActivityAugmentationType,j:ActivityDocumentValidator,0,unbounded,
3.0,j:ActivityAugmentationType,j:ActivityOfficial,0,unbounded,
3.0,j:ActivityCaseAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityCaseAssociationType,nc:Case,0,unbounded,
3.0,j:ActivityCaseAssociationType,j:ActivityCaseAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityChargeAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityChargeAssociationType,j:Charge,0,unbounded,
3.0,j:ActivityChargeAssociationType,j:ActivityChargeAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityCommunityServiceAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityCommunityServiceAssociationType,j:CommunityService,0,unbounded,
3.0,j:ActivityCommunityServiceAssociationType,j:ActivityCommunityServiceAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityContactInformationAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityContactInformationAssociationType,nc:ContactInformation,0,unbounded,
3.0,j:ActivityContactInformationAssociationType,nc:Person,0,unbounded,
3.0,j:ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivityConveyanceAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivityConveyanceAssociationType,nc:Conveyance,0,unbounded,
3.0,nc:ActivityConveyanceAssociationType,nc:ActivityConveyanceAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityCounselingAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityCounselingAssociationType,j:Counseling,0,unbounded,
3.0,j:ActivityCounselingAssociationType,j:ActivityCounselingAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityCourtAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityCourtAssociationType,j:Court,0,unbounded,
3.0,j:ActivityCourtAssociationType,j:ActivityCourtAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityCourtOrderAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityCourtOrderAssociationType,j:CourtOrder,0,unbounded,
3.0,j:ActivityCourtOrderAssociationType,j:Subject,0,unbounded,
3.0,j:ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityCriminalOrganizationAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityCriminalOrganizationAssociationType,j:CriminalOrganization,0,unbounded,
3.0,j:ActivityCriminalOrganizationAssociationType,nc:ActivityInvolvement,0,unbounded,
3.0,j:ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityCustodyTransferAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityCustodyTransferAssociationType,j:CustodyTransfer,0,unbounded,
3.0,j:ActivityCustodyTransferAssociationType,j:Subject,0,unbounded,
3.0,j:ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivityDocumentAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivityDocumentAssociationType,nc:Document,0,unbounded,
3.0,nc:ActivityDocumentAssociationType,nc:ActivityDocumentAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityDriverLicenseAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityDriverLicenseAssociationType,j:DriverLicense,0,unbounded,
3.0,j:ActivityDriverLicenseAssociationType,nc:Person,0,unbounded,
3.0,j:ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityEmailAddressAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityEmailAddressAssociationType,nc:MessageID,0,unbounded,
3.0,j:ActivityEmailAddressAssociationType,j:ActivityEmailAddressAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityEmployeeAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityEmployeeAssociationType,nc:Employee,0,unbounded,
3.0,j:ActivityEmployeeAssociationType,j:ActivityEmployeeAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityEvidenceAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityEvidenceAssociationType,j:Evidence,0,unbounded,
3.0,j:ActivityEvidenceAssociationType,j:ActivityEvidenceAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivityFacilityAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivityFacilityAssociationType,nc:Facility,0,unbounded,
3.0,nc:ActivityFacilityAssociationType,nc:ActivityFacilityAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityFeeAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityFeeAssociationType,nc:Fee,0,unbounded,
3.0,j:ActivityFeeAssociationType,j:ActivityFeeAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityForceAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityForceAssociationType,j:Force,0,unbounded,
3.0,j:ActivityForceAssociationType,j:ActivityForceAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityIncidentAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityIncidentAssociationType,nc:Incident,0,unbounded,
3.0,j:ActivityIncidentAssociationType,j:ActivityIncidentAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityInstantMessengerAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityInstantMessengerAssociationType,j:InstantMessengerID,0,unbounded,
3.0,j:ActivityInstantMessengerAssociationType,j:ActivityInstantMessengerAssociationAugmentationPoint,0,unbounded,
3.0,cyfs:ActivityInvolvedPersonAssociationAugmentationType,cyfs:SignatureRequiredIndicator,0,unbounded,
3.0,nc:ActivityItemAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivityItemAssociationType,nc:Item,0,unbounded,
3.0,nc:ActivityItemAssociationType,nc:ActivityItemAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityJudgeAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityJudgeAssociationType,j:Judge,0,unbounded,
3.0,j:ActivityJudgeAssociationType,j:ActivityJudgeAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityJurisdictionAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityJurisdictionAssociationType,nc:Jurisdiction,0,unbounded,
3.0,j:ActivityJurisdictionAssociationType,j:ActivityJurisdictionAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityLocationAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityLocationAssociationType,nc:Location,0,unbounded,
3.0,j:ActivityLocationAssociationType,j:ActivityLocationAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityNetworkAddressAssociationType,j:NetworkAddressID,0,unbounded,
3.0,j:ActivityNetworkAddressAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityNetworkAddressAssociationType,j:ActivityNetworkAddressAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityObligationAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityObligationAssociationType,nc:Obligation,0,unbounded,
3.0,j:ActivityObligationAssociationType,j:ActivityObligationAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivityOrganizationAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivityOrganizationAssociationType,nc:Organization,0,unbounded,
3.0,nc:ActivityOrganizationAssociationType,nc:ActivityInvolvement,0,unbounded,
3.0,nc:ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationAugmentationPoint,0,unbounded,
3.0,nc:ActivityPersonAssociationType,nc:Activity,0,unbounded,
3.0,nc:ActivityPersonAssociationType,nc:Person,0,unbounded,
3.0,nc:ActivityPersonAssociationType,nc:ActivityInvolvement,0,unbounded,
3.0,nc:ActivityPersonAssociationType,nc:ActivityPersonAssociationAugmentationPoint,0,unbounded,
3.0,scr:ActivityProcessClassificationType,scr:ActivityProcessDescriptionText,0,unbounded,
3.0,scr:ActivityProcessClassificationType,scr:ActivityProcessCategory,0,unbounded,
3.0,scr:ActivityProcessClassificationType,scr:ActivityProcessClassificationAugmentationPoint,0,unbounded,
3.0,j:ActivityProgramAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityProgramAssociationType,nc:Program,0,unbounded,
3.0,j:ActivityProgramAssociationType,j:ActivityProgramAssociationAugmentationPoint,0,unbounded,
3.0,j:ActivityReferralAssociationType,nc:Activity,0,unbounded,
3.0,j:ActivityReferralAssociationType,nc:Referral,0,unbounded,
