Release,TypeNamespacePrefix,TypeName,QualifiedType,PropertyNamespacePrefix,PropertyName,QualifiedProperty,MinOccurs,MaxOccurs,Definition,SequenceNumber
3.1,cyfs,AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryType,cyfs,AbuseNeglectHarmAgeText,cyfs:AbuseNeglectHarmAgeText,0,unbounded,,1
3.1,cyfs,AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryType,cyfs,AbuseNeglectInjuryAugmentationPoint,cyfs:AbuseNeglectInjuryAugmentationPoint,0,unbounded,,9999
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,AcknowledgingActivityName,cbrn:AcknowledgingActivityName,0,unbounded,,1
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,nc,SystemUserName,nc:SystemUserName,0,unbounded,,2
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,TraversalOperatingMode,cbrn:TraversalOperatingMode,0,unbounded,,3
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,AcknowledgementDateTime,cbrn:AcknowledgementDateTime,0,unbounded,,4
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,AcknowledgementID,cbrn:AcknowledgementID,0,unbounded,,5
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,CredentialsAuthentication,cbrn:CredentialsAuthentication,0,unbounded,,6
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,AcknowledgingAgency,cbrn:AcknowledgingAgency,0,unbounded,,8
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,ScanIdentificationData,cbrn:ScanIdentificationData,0,unbounded,,18
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,cbrn,AcknowledgementDataAugmentationPoint,cbrn:AcknowledgementDataAugmentationPoint,0,unbounded,,9999
3.1,cbrn,AcknowledgingAgencyType,cbrn:AcknowledgingAgencyType,cbrn,AcknowledgingAgencyCode,cbrn:AcknowledgingAgencyCode,0,unbounded,,1
3.1,cbrn,AcknowledgingAgencyType,cbrn:AcknowledgingAgencyType,nc,OrganizationName,nc:OrganizationName,0,unbounded,,2
3.1,cbrn,AcknowledgingAgencyType,cbrn:AcknowledgingAgencyType,nc,OrganizationIdentification,nc:OrganizationIdentification,0,unbounded,,3
3.1,cbrn,AcknowledgingAgencyType,cbrn:AcknowledgingAgencyType,cbrn,AcknowledgingAgencyAugmentationPoint,cbrn:AcknowledgingAgencyAugmentationPoint,0,unbounded,,9999
