Release,TypeNS,TypeName,Definition,ContentStyle,SimpleQualifiedType,ParentQualifiedType,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,QualifiedType
3.0,cyfs,AbuseNeglectInjuryType,A data type for an applied augmentation for type nc:InjuryType,CCC,,nc:InjuryType,FALSE,FALSE,FALSE,,,,cyfs:AbuseNeglectInjuryType
3.0,cyfs,AbuseNeglectSeverityCodeSimpleType,A data type for describing different severity levels of abuse.,S,cyfs:AbuseNeglectSeverityCodeType,,FALSE,FALSE,FALSE,,,,cyfs:AbuseNeglectSeverityCodeSimpleType
3.0,cyfs,AbuseNeglectSeverityCodeType,A data type for describing different severity levels of abuse.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:AbuseNeglectSeverityCodeType
3.0,ansi_d20,AccidentSeverityCodeSimpleType,A data type for severity levels of an accident.,S,ansi_d20:AccidentSeverityCodeType,,FALSE,FALSE,FALSE,,,,ansi_d20:AccidentSeverityCodeSimpleType
3.0,ansi_d20,AccidentSeverityCodeType,A data type for severity levels of an accident.,CSC,,,FALSE,FALSE,FALSE,,,,ansi_d20:AccidentSeverityCodeType
3.0,cbrn,AcknowledgementDataType,A data type for information regarding an acknowledgement.,CCC,,,FALSE,FALSE,FALSE,,,,cbrn:AcknowledgementDataType
3.0,cbrn,AcknowledgingAgencyType,A data type for an Organization that is responsible for generating an acknowledgement message.,CCC,,,FALSE,FALSE,FALSE,,,,cbrn:AcknowledgingAgencyType
3.0,biom,AcquisitionSourceCodeSimpleType,A data type for a source acquisition code,S,biom:AcquisitionSourceCodeType,,FALSE,FALSE,FALSE,,,,biom:AcquisitionSourceCodeSimpleType
3.0,biom,AcquisitionSourceCodeType,A data type for a source acquisition code,CSC,,,FALSE,FALSE,FALSE,,,,biom:AcquisitionSourceCodeType
3.0,biom,AcquisitionSourceType,A data type for a source of an item,CCC,,,FALSE,FALSE,FALSE,,,,biom:AcquisitionSourceType
3.0,cyfs,ActionRequestedCodeSimpleType,A data type for the actions being requested of the court based on the types of services needed by the child.,S,cyfs:ActionRequestedCodeType,,FALSE,FALSE,FALSE,,,,cyfs:ActionRequestedCodeSimpleType
3.0,cyfs,ActionRequestedCodeType,A data type for the actions being requested of the court based on the types of services needed by the child.,CSC,,,FALSE,FALSE,FALSE,,,,cyfs:ActionRequestedCodeType
3.0,j,ActivityArrestAssociationType,A data type for an association between an activity and an arrest.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityArrestAssociationType
3.0,j,ActivityAugmentationType,A data type for additional information about an activity.,CCC,,,FALSE,FALSE,TRUE,,,,j:ActivityAugmentationType
3.0,j,ActivityCaseAssociationType,A data type for an association between an activity and a case.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCaseAssociationType
3.0,j,ActivityChargeAssociationType,A data type for an association between an activity and a charge.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityChargeAssociationType
3.0,j,ActivityCommunityServiceAssociationType,A data type for an association between an activity and an assignment of community service.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCommunityServiceAssociationType
3.0,j,ActivityContactInformationAssociationType,A data type for an association between an activity and contact information for that activity.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityContactInformationAssociationType
3.0,nc,ActivityConveyanceAssociationType,A data type for an association between an activity and a conveyance.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityConveyanceAssociationType
3.0,j,ActivityCounselingAssociationType,A data type for an association between an activity and counseling.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCounselingAssociationType
3.0,j,ActivityCourtAssociationType,A data type for an association between an activity and a court.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCourtAssociationType
3.0,j,ActivityCourtOrderAssociationType,A data type for an association between an activity and a court order.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCourtOrderAssociationType
3.0,j,ActivityCriminalOrganizationAssociationType,A data type for an association between an activity and a criminal organization.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCriminalOrganizationAssociationType
3.0,j,ActivityCustodyTransferAssociationType,A data type for an association between an activity and transfer of custody.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityCustodyTransferAssociationType
3.0,nc,ActivityDocumentAssociationType,A data type for an association between an activity and a document.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityDocumentAssociationType
3.0,j,ActivityDriverLicenseAssociationType,A data type for an association between an activity and a driver license.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityDriverLicenseAssociationType
3.0,j,ActivityEmailAddressAssociationType,A data type for a relationship between an activity and an email address (e.g. harassing or threatening email).,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityEmailAddressAssociationType
3.0,j,ActivityEmployeeAssociationType,A data type for an association between an activity and an employee.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityEmployeeAssociationType
3.0,j,ActivityEvidenceAssociationType,A data type for an association between an activity and evidence.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,j:ActivityEvidenceAssociationType
3.0,nc,ActivityFacilityAssociationType,A data type for an association between an activity and a facility.,CCC,,nc:AssociationType,FALSE,FALSE,FALSE,,,,nc:ActivityFacilityAssociationType
