Release,TypeNamespacePrefix,TypeName,QualifiedType,ContentStyle,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,Definition,SimpleTypeNamespacePrefix,SimpleTypeName,SimpleQualifiedType,ParentTypeNamespacePrefix,ParentTypeName,ParentQualifiedType
3.1,cyfs,AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryType,CCC,0,0,0,,,,A data type for an applied augmentation for type nc:InjuryType,,,,nc,InjuryType,nc:InjuryType
3.1,cyfs,AbuseNeglectSeverityCodeSimpleType,cyfs:AbuseNeglectSeverityCodeSimpleType,S,0,0,0,,,,A data type for describing different severity levels of abuse.,cyfs,AbuseNeglectSeverityCodeType,cyfs:AbuseNeglectSeverityCodeType,,,
3.1,cyfs,AbuseNeglectSeverityCodeType,cyfs:AbuseNeglectSeverityCodeType,CSC,0,0,0,,,,A data type for describing different severity levels of abuse.,,,,,,
3.1,ansi_d20,AccidentSeverityCodeSimpleType,ansi_d20:AccidentSeverityCodeSimpleType,S,0,0,0,,,,A data type for severity levels of an accident.,ansi_d20,AccidentSeverityCodeType,ansi_d20:AccidentSeverityCodeType,,,
3.1,ansi_d20,AccidentSeverityCodeType,ansi_d20:AccidentSeverityCodeType,CSC,0,0,0,,,,A data type for severity levels of an accident.,,,,,,
3.1,cbrn,AcknowledgementDataType,cbrn:AcknowledgementDataType,CCC,0,0,0,,,,A data type for information regarding an acknowledgement.,,,,,,
3.1,cbrn,AcknowledgingAgencyType,cbrn:AcknowledgingAgencyType,CCC,0,0,0,,,,A data type for an Organization that is responsible for generating an acknowledgement message.,,,,,,
3.1,biom,AcquisitionSourceCodeSimpleType,biom:AcquisitionSourceCodeSimpleType,S,0,0,0,,,,A data type for a source acquisition code,biom,AcquisitionSourceCodeType,biom:AcquisitionSourceCodeType,,,
3.1,biom,AcquisitionSourceCodeType,biom:AcquisitionSourceCodeType,CSC,0,0,0,,,,A data type for a source acquisition code,,,,,,
3.1,biom,AcquisitionSourceType,biom:AcquisitionSourceType,CCC,0,0,0,,,,A data type for a source of an item,,,,,,
3.1,cyfs,ActionRequestedCodeSimpleType,cyfs:ActionRequestedCodeSimpleType,S,0,0,0,,,,A data type for the actions being requested of the court based on the types of services needed by the child.,cyfs,ActionRequestedCodeType,cyfs:ActionRequestedCodeType,,,
3.1,cyfs,ActionRequestedCodeType,cyfs:ActionRequestedCodeType,CSC,0,0,0,,,,A data type for the actions being requested of the court based on the types of services needed by the child.,,,,,,
3.1,j,ActivityArrestAssociationType,j:ActivityArrestAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and an arrest.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityAugmentationType,j:ActivityAugmentationType,CCC,0,0,1,,,,A data type for additional information about an activity.,,,,,,
3.1,j,ActivityCaseAssociationType,j:ActivityCaseAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a case.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityChargeAssociationType,j:ActivityChargeAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a charge.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityCommunityServiceAssociationType,j:ActivityCommunityServiceAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and an assignment of community service.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityContactInformationAssociationType,j:ActivityContactInformationAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and contact information for that activity.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivityConveyanceAssociationType,nc:ActivityConveyanceAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a conveyance.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityCounselingAssociationType,j:ActivityCounselingAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and counseling.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityCourtAssociationType,j:ActivityCourtAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a court.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityCourtOrderAssociationType,j:ActivityCourtOrderAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a court order.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityCriminalOrganizationAssociationType,j:ActivityCriminalOrganizationAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a criminal organization.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityCustodyTransferAssociationType,j:ActivityCustodyTransferAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and transfer of custody.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivityDocumentAssociationType,nc:ActivityDocumentAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a document.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityDriverLicenseAssociationType,j:ActivityDriverLicenseAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a driver license.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityEmailAddressAssociationType,j:ActivityEmailAddressAssociationType,CCC,0,0,0,,,,A data type for a relationship between an activity and an email address (e.g. harassing or threatening email).,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityEmployeeAssociationType,j:ActivityEmployeeAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and an employee.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityEvidenceAssociationType,j:ActivityEvidenceAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and evidence.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivityFacilityAssociationType,nc:ActivityFacilityAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a facility.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityFeeAssociationType,j:ActivityFeeAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a fee.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityForceAssociationType,j:ActivityForceAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a use of force.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityIncidentAssociationType,j:ActivityIncidentAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and an incident.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityInstantMessengerAssociationType,j:ActivityInstantMessengerAssociationType,CCC,0,0,0,,,,A data type for a relationship between an activity and an other contact address.,,,,nc,AssociationType,nc:AssociationType
3.1,cyfs,ActivityInvolvedPersonAssociationAugmentationType,cyfs:ActivityInvolvedPersonAssociationAugmentationType,CCC,0,0,1,,,,A data type for additional information about an activity and a person involved in that activity.,,,,,,
3.1,nc,ActivityItemAssociationType,nc:ActivityItemAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and an item.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityJudgeAssociationType,j:ActivityJudgeAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a judge.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityJurisdictionAssociationType,j:ActivityJurisdictionAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a jurisdiction.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityLocationAssociationType,j:ActivityLocationAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a location.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityNetworkAddressAssociationType,j:ActivityNetworkAddressAssociationType,CCC,0,0,0,,,,A data type for a relationship between an activity and a network address.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityObligationAssociationType,j:ActivityObligationAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and an obligation.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivityOrganizationAssociationType,nc:ActivityOrganizationAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and an organization.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivityPersonAssociationType,nc:ActivityPersonAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a person.,,,,nc,AssociationType,nc:AssociationType
3.1,scr,ActivityProcessCategoryCodeSimpleType,scr:ActivityProcessCategoryCodeSimpleType,S,0,0,0,,,,A data type for a kind of activity process.,scr,ActivityProcessCategoryCodeType,scr:ActivityProcessCategoryCodeType,,,
3.1,scr,ActivityProcessCategoryCodeType,scr:ActivityProcessCategoryCodeType,CSC,0,0,0,,,,A data type for a kind of activity process.,,,,,,
3.1,scr,ActivityProcessClassificationType,scr:ActivityProcessClassificationType,CCC,0,0,0,,,,A data type describing a kind of Screening activity process.,,,,,,
3.1,j,ActivityProgramAssociationType,j:ActivityProgramAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a program.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityReferralAssociationType,j:ActivityReferralAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a referral.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityReleaseAssociationType,j:ActivityReleaseAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a release.,,,,nc,AssociationType,nc:AssociationType
3.1,scr,ActivityRequestCategoryCodeSimpleType,scr:ActivityRequestCategoryCodeSimpleType,S,0,0,0,,,,A data type for a kind of activity request.,scr,ActivityRequestCategoryCodeType,scr:ActivityRequestCategoryCodeType,,,
3.1,scr,ActivityRequestCategoryCodeType,scr:ActivityRequestCategoryCodeType,CSC,0,0,0,,,,A data type for a kind of activity request.,,,,,,
3.1,scr,ActivityRequestClassificationType,scr:ActivityRequestClassificationType,CCC,0,0,0,,,,A data type describing a classification of Screening activity request.,,,,,,
3.1,scr,ActivityResponseCategoryCodeSimpleType,scr:ActivityResponseCategoryCodeSimpleType,S,0,0,0,,,,A data type for a kind of activity response.,scr,ActivityResponseCategoryCodeType,scr:ActivityResponseCategoryCodeType,,,
3.1,scr,ActivityResponseCategoryCodeType,scr:ActivityResponseCategoryCodeType,CSC,0,0,0,,,,A data type for a kind of activity response.,,,,,,
3.1,scr,ActivityResponseClassificationType,scr:ActivityResponseClassificationType,CCC,0,0,0,,,,A data type describing a classification of Screening activity response.,,,,,,
3.1,scr,ActivityResultsCategoryCodeSimpleType,scr:ActivityResultsCategoryCodeSimpleType,S,0,0,0,,,,A data type for a kind of activity results.,scr,ActivityResultsCategoryCodeType,scr:ActivityResultsCategoryCodeType,,,
3.1,scr,ActivityResultsCategoryCodeType,scr:ActivityResultsCategoryCodeType,CSC,0,0,0,,,,A data type for a kind of activity results.,,,,,,
3.1,scr,ActivityResultsClassificationType,scr:ActivityResultsClassificationType,CCC,0,0,0,,,,A data type describing a classification of Screening activity results.,,,,,,
3.1,j,ActivitySanctionAssociationType,j:ActivitySanctionAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a sanction.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivityScheduleAssociationType,nc:ActivityScheduleAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and its schedule.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationType,CCC,0,0,0,,,,A data type for a relationship between an activity and a sentence computation.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a service call.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivitySiteAssociationType,nc:ActivitySiteAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a site.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivitySubjectAssociationType,j:ActivitySubjectAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a subject.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityTelephoneNumberAssociationType,j:ActivityTelephoneNumberAssociationType,CCC,0,0,0,,,,A data type for a relationship between an activity and a telephone number.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,ActivityType,nc:ActivityType,CCC,0,0,0,process,,An activity can be made up of multiple events.,"A data type for a single or set of related actions, events, or process steps.",,,,,,
3.1,j,ActivityUnitAssociationType,j:ActivityUnitAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a unit.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityVictimAssociationType,j:ActivityVictimAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a victim.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityWarrantAssociationType,j:ActivityWarrantAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a warrant.,,,,nc,AssociationType,nc:AssociationType
3.1,j,ActivityWitnessAssociationType,j:ActivityWitnessAssociationType,CCC,0,0,0,,,,A data type for an association between an activity and a witness.,,,,nc,AssociationType,nc:AssociationType
3.1,it,AdditionalDocumentType,it:AdditionalDocumentType,CCC,0,0,0,,,,A data type for an applied augmentation for type nc:DocumentType,,,,nc,DocumentType,nc:DocumentType
3.1,it,AdditionalInformationType,it:AdditionalInformationType,CCC,0,0,0,,,,A data type for an applied augmentation for type nc:DocumentType,,,,nc,DocumentType,nc:DocumentType
3.1,it,AddressAugmentationType,it:AddressAugmentationType,CCC,0,0,1,,,,A data type for additional information about an address.,,,,,,
3.1,scr,AddressAugmentationType,scr:AddressAugmentationType,CCC,0,0,1,,,,A data type for additional information about an address.,,,,,,
3.1,scr,AddressCategoryCodeSimpleType,scr:AddressCategoryCodeSimpleType,S,0,0,0,,,,A data type describing the kinds of Address types,scr,AddressCategoryCodeType,scr:AddressCategoryCodeType,,,
3.1,scr,AddressCategoryCodeType,scr:AddressCategoryCodeType,CSC,0,0,0,,,,A data type describing the kinds of Address types,,,,,,
3.1,scr,AddressClassificationType,scr:AddressClassificationType,CCC,0,0,0,,,,A data type for classification of an ADDRESS,,,,,,
3.1,nc,AddressGridType,nc:AddressGridType,CCC,0,0,0,,,"May be used to denote the area of jurisdiction of an agency, such as a law enforcement or emergency response agency.",A data type for a location identified by a unit of a grid system overlaid on an area.,,,,,,
3.1,nc,AddressType,nc:AddressType,CCC,0,0,0,,,,A data type for a geophysical location described by postal information.,,,,,,
3.1,cyfs,AdoptingParentRelationshipCategoryCodeSimpleType,cyfs:AdoptingParentRelationshipCategoryCodeSimpleType,S,0,0,0,,,,A data type for describing the relationship of an adopting parent.,cyfs,AdoptingParentRelationshipCategoryCodeType,cyfs:AdoptingParentRelationshipCategoryCodeType,,,
3.1,cyfs,AdoptingParentRelationshipCategoryCodeType,cyfs:AdoptingParentRelationshipCategoryCodeType,CSC,0,0,0,,,,A data type for describing the relationship of an adopting parent.,,,,,,
3.1,cyfs,AdoptiveFamilyAssociationType,cyfs:AdoptiveFamilyAssociationType,CCC,0,0,0,,,,A data type for an association between family members in an adoptive family.,,,,nc,AssociationType,nc:AssociationType
3.1,cyfs,AdoptiveParentChildAssociationType,cyfs:AdoptiveParentChildAssociationType,CCC,0,0,0,,,,A data type for an association between a child and a parent who adopted the child.,,,,cyfs,ParentChildAssociationType,cyfs:ParentChildAssociationType
3.1,cyfs,AFCARSPermanencyGoalCodeSimpleType,cyfs:AFCARSPermanencyGoalCodeSimpleType,S,0,0,0,,,,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",cyfs,AFCARSPermanencyGoalCodeType,cyfs:AFCARSPermanencyGoalCodeType,,,
3.1,cyfs,AFCARSPermanencyGoalCodeType,cyfs:AFCARSPermanencyGoalCodeType,CSC,0,0,0,,,,"A data type for a list of case plan goals for permanency defined for the Adoption and Foster Care Analysis Reporting System in 45 CFR 1355, Appendix A, roman numeral VI.",,,,,,
3.1,nlets,AgencyAuthorizationCodeSimpleType,nlets:AgencyAuthorizationCodeSimpleType,S,0,0,0,,,,A data type for an agency's access category to data.,nlets,AgencyAuthorizationCodeType,nlets:AgencyAuthorizationCodeType,,,
3.1,nlets,AgencyAuthorizationCodeType,nlets:AgencyAuthorizationCodeType,CSC,0,0,0,,,,A data type for an agency's access category to data.,,,,,,
3.1,intel,AgencyInterestCategoryType,intel:AgencyInterestCategoryType,CCC,0,0,0,,,,A data type for a groupings of persons by the reason they are of interest to intelligence.,,,,,,
3.1,intel,AgencyInterestOtherCategoryType,intel:AgencyInterestOtherCategoryType,CCC,0,0,0,,,,A data type for a details that describe an additional person-categorization system that groups of people by the reason they are of interest to intelligence.,,,,,,
3.1,nlets,AgencyServiceHoursCodeSimpleType,nlets:AgencyServiceHoursCodeSimpleType,S,0,0,0,,,,A data type for the availability of an agency.,nlets,AgencyServiceHoursCodeType,nlets:AgencyServiceHoursCodeType,,,
3.1,nlets,AgencyServiceHoursCodeType,nlets:AgencyServiceHoursCodeType,CSC,0,0,0,,,,A data type for the availability of an agency.,,,,,,
3.1,intel,AgencySubjectHandlingType,intel:AgencySubjectHandlingType,CCC,0,0,0,,,,A data type for actions to take on contact with the person.,,,,,,
3.1,intel,AgencySubjectInterestType,intel:AgencySubjectInterestType,CCC,0,0,0,,,,A data type for a detailed description of why an agency placed the person in its repository or why the data on the person is being exchanged.,,,,,,
3.1,scr,AgentAssociationType,scr:AgentAssociationType,CCC,0,0,0,,,,A data type for a relationship between a Person and a Person Role,,,,nc,AssociationType,nc:AssociationType
3.1,it,AgentType,it:AgentType,CCC,0,0,0,,,,"A data type for a party authorized to act on behalf of another person, organization or thing.",,,,,,
3.1,ndex,AggravatedAssaultCircumstanceNDExCodeSimpleType,ndex:AggravatedAssaultCircumstanceNDExCodeSimpleType,S,0,0,0,,,,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",ndex,AggravatedAssaultCircumstanceNDExCodeType,ndex:AggravatedAssaultCircumstanceNDExCodeType,,,
3.1,ndex,AggravatedAssaultCircumstanceNDExCodeType,ndex:AggravatedAssaultCircumstanceNDExCodeType,CSC,0,0,0,,,,"A data type for a code that describes the circumstances of either an aggravated assault or homicide. Includes all NIBRS codes, plus additional codes.",,,,,,
3.1,ucr,AggravatedAssaultHomicideFactorsCodeSimpleType,ucr:AggravatedAssaultHomicideFactorsCodeSimpleType,S,0,0,0,,,,A data type for circumstances of either an aggravated assault or homicide.,ucr,AggravatedAssaultHomicideFactorsCodeType,ucr:AggravatedAssaultHomicideFactorsCodeType,,,
3.1,ucr,AggravatedAssaultHomicideFactorsCodeType,ucr:AggravatedAssaultHomicideFactorsCodeType,CSC,0,0,0,,,,A data type for circumstances of either an aggravated assault or homicide.,,,,,,
3.1,mo,AimpointType,mo:AimpointType,CCC,0,0,0,,,,A data type for a point associated with a target and assigned for a specific weapon impact.,,,,,,
3.1,mo,AircraftAugmentationType,mo:AircraftAugmentationType,CCC,0,0,1,,,,A data type for additional information about an nc:Aircraft.,,,,,,
3.1,scr,AircraftFlightPlanSummaryAssociationType,scr:AircraftFlightPlanSummaryAssociationType,CCC,0,0,0,,,,"A data type for an association between a flight plan summary, an aircraft, and a carrier.",,,,nc,AssociationType,nc:AssociationType
3.1,mo,AircraftTargetAssociationType,mo:AircraftTargetAssociationType,CCC,0,0,0,,,,A data type for a relationship between an aircraft and a target.,,,,nc,AssociationType,nc:AssociationType
3.1,nc,AircraftType,nc:AircraftType,CCC,0,0,0,"plane, airplane, helicopter, jet, drone, glider, unmanned aircraft, UAV",,,A data type for a mode of transportation capable of flying in the air.,,,,nc,ConveyanceType,nc:ConveyanceType
3.1,nc,AirportType,nc:AirportType,CCC,0,0,0,,,,A data type for an airport facility.,,,,nc,FacilityType,nc:FacilityType
3.1,jp3-52,AirspaceCoordinatingMeasureTypeAndUsageType,jp3-52:AirspaceCoordinatingMeasureTypeAndUsageType,CCC,0,0,0,,,,A data type for a measure(s) employed to facilitate the efficient use of airspace to accomplish missions and simultaneously provide safeguards for friendly forces. Also called ACMs.,,,,,,
3.1,jp3-52,AirspaceCoordinatingMeasureTypeCodeSimpleType,jp3-52:AirspaceCoordinatingMeasureTypeCodeSimpleType,S,0,0,0,,,,A data type for a designator for a JP3-52 Airspace Coordinating Measure (ACM) Type Code.,jp3-52,AirspaceCoordinatingMeasureTypeCodeType,jp3-52:AirspaceCoordinatingMeasureTypeCodeType,,,
3.1,jp3-52,AirspaceCoordinatingMeasureTypeCodeType,jp3-52:AirspaceCoordinatingMeasureTypeCodeType,CSC,0,0,0,,,,A data type for a designator for a JP3-52 Airspace Coordinating Measure (ACM) Type Code.,,,,,,
3.1,jp3-52,AirspaceCoordinatingMeasureUsageCodeSimpleType,jp3-52:AirspaceCoordinatingMeasureUsageCodeSimpleType,S,0,0,0,,,,A data type for a designator for a JP3-52 Airspace Coordinating Measure (ACM) Usage Code.,jp3-52,AirspaceCoordinatingMeasureUsageCodeType,jp3-52:AirspaceCoordinatingMeasureUsageCodeType,,,
3.1,jp3-52,AirspaceCoordinatingMeasureUsageCodeType,jp3-52:AirspaceCoordinatingMeasureUsageCodeType,CSC,0,0,0,,,,A data type for a designator for a JP3-52 Airspace Coordinating Measure (ACM) Usage Code.,,,,,,
3.1,em,AlarmAudibleDescriptionCodeSimpleType,em:AlarmAudibleDescriptionCodeSimpleType,S,0,0,0,,,,A data type code indicating whether the alarm is audible or silent.,em,AlarmAudibleDescriptionCodeType,em:AlarmAudibleDescriptionCodeType,,,
3.1,em,AlarmAudibleDescriptionCodeType,em:AlarmAudibleDescriptionCodeType,CSC,0,0,0,,,,A data type code indicating whether the alarm is audible or silent.,,,,,,
