Release,TypeNamespacePrefix,TypeName,QualifiedType,ContentStyle,SimpleStyle,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,Definition,SimpleTypeNamespacePrefix,SimpleTypeName,SimpleQualifiedType,ParentTypeNamespacePrefix,ParentTypeName,ParentQualifiedType
5.2,aamva_d20,AccidentSeverityCodeSimpleType,aamva_d20:AccidentSeverityCodeSimpleType,S,atomic,0,0,0,,,,A data type for severity levels of an accident.,xs,token,xs:token,,,
5.2,aamva_d20,AccidentSeverityCodeType,aamva_d20:AccidentSeverityCodeType,CSC,,0,0,0,,,,A data type for severity levels of an accident.,aamva_d20,AccidentSeverityCodeSimpleType,aamva_d20:AccidentSeverityCodeSimpleType,,,
5.2,aamva_d20,BrandCodeSimpleType,aamva_d20:BrandCodeSimpleType,S,atomic,0,0,0,,,,A data type for a brand applied to a vehicle title or odometer.,xs,token,xs:token,,,
5.2,aamva_d20,BrandCodeType,aamva_d20:BrandCodeType,CSC,,0,0,0,,,,A data type for a brand applied to a vehicle title or odometer.,aamva_d20,BrandCodeSimpleType,aamva_d20:BrandCodeSimpleType,,,
5.2,aamva_d20,BrandDamagePercentageCategoryCodeSimpleType,aamva_d20:BrandDamagePercentageCategoryCodeSimpleType,S,atomic,0,0,0,,,,A data type for the percentage of damage in a brand on a vehicle.,xs,token,xs:token,,,
5.2,aamva_d20,BrandDamagePercentageCategoryCodeType,aamva_d20:BrandDamagePercentageCategoryCodeType,CSC,,0,0,0,,,,A data type for the percentage of damage in a brand on a vehicle.,aamva_d20,BrandDamagePercentageCategoryCodeSimpleType,aamva_d20:BrandDamagePercentageCategoryCodeSimpleType,,,
5.2,aamva_d20,BranderCategoryCodeSimpleType,aamva_d20:BranderCategoryCodeSimpleType,S,atomic,0,0,0,,,,A data type for kinds of branders.,xs,token,xs:token,,,
5.2,aamva_d20,BranderCategoryCodeType,aamva_d20:BranderCategoryCodeType,CSC,,0,0,0,,,,A data type for kinds of branders.,aamva_d20,BranderCategoryCodeSimpleType,aamva_d20:BranderCategoryCodeSimpleType,,,
5.2,aamva_d20,BrandVehicleDispositionCodeSimpleType,aamva_d20:BrandVehicleDispositionCodeSimpleType,S,atomic,0,0,0,,,,A data type for vehicle dispositions.,xs,token,xs:token,,,
5.2,aamva_d20,BrandVehicleDispositionCodeType,aamva_d20:BrandVehicleDispositionCodeType,CSC,,0,0,0,,,,A data type for vehicle dispositions.,aamva_d20,BrandVehicleDispositionCodeSimpleType,aamva_d20:BrandVehicleDispositionCodeSimpleType,,,
5.2,aamva_d20,CDLHolderCodeSimpleType,aamva_d20:CDLHolderCodeSimpleType,S,atomic,0,0,0,,,,"A data type for a code set indicating at the time of the citation, whether the individual holds a Commercial Driver License (CDL) or, in the case of an unlicensed driver, whether the individual's last held license was a CDL.",xs,token,xs:token,,,
